Team,FR TD,SFTY,INT TD
Vikings,2,0,0
Browns,1,0,1
Cowboys,1,1,5
Broncos,1,1,0
Packers,1,0,1
Colts,1,0,3
Chiefs,1,0,0
Saints,1,0,1
Jets,1,3,1
Eagles,1,1,1
Cardinals,1,0,0
Steelers,1,1,1
Falcons,0,1,1
Ravens,0,1,1
Bills,0,0,1
Panthers,0,0,2
Bears,0,0,1
Bengals,0,0,1
Lions,0,1,1
Titans,0,0,0
Texans,0,0,0
Jaguars,0,0,2
Rams,0,2,0
Raiders,0,1,1
Dolphins,0,0,4
Patriots,0,1,0
Giants,0,0,2
Chargers,0,0,0
49ers,0,0,0
Seahawks,0,0,3
Buccaneers,0,1,1
Commanders,0,0,0
