Team,FF,FR,FR TD
Vikings,19,9,2
Broncos,17,13,1
Colts,16,8,1
Steelers,15,8,1
Falcons,14,8,0
Eagles,14,8,1
Bills,13,10,0
Giants,13,9,0
Cowboys,12,7,1
Texans,12,8,0
Jaguars,12,11,0
Jets,12,7,1
Buccaneers,12,7,0
Ravens,11,8,0
Bears,11,5,0
Titans,11,8,0
Chiefs,11,8,1
Dolphins,11,7,0
Chargers,11,10,0
Seahawks,11,8,0
Browns,10,8,1
Bengals,9,8,0
Lions,8,5,0
Commanders,8,7,0
Packers,7,9,1
Raiders,7,4,0
Patriots,7,5,0
Saints,7,8,1
49ers,7,6,0
Rams,6,4,0
Cardinals,6,6,1
Panthers,2,2,0
