Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Commanders,448,288,64.3,8.1,3613,30,6,159,35.5,35
Chiefs,424,261,61.6,6.3,2655,17,7,134,31.6,42
Vikings,458,319,69.6,6.8,3094,15,10,145,31.7,36
Chargers,479,317,66.2,7.7,3705,19,7,166,34.7,43
Browns,373,209,56,6.3,2335,16,12,97,26,38
Panthers,377,243,64.5,6.4,2423,16,7,127,33.7,20
Bills,432,286,66.2,6.8,2945,17,12,150,34.7,42
Saints,419,240,57.3,6.3,2623,16,14,121,28.9,23
Bengals,439,287,65.4,7.9,3476,16,13,160,36.4,35
Cowboys,394,237,60.2,6.7,2635,17,13,122,31,39
Jaguars,499,328,65.7,7.3,3621,22,13,157,31.5,27
Lions,438,275,62.8,7.3,3187,21,9,155,35.4,28
Colts,436,279,64,7.3,3193,15,13,140,32.1,42
Rams,461,278,60.3,6.8,3142,16,7,150,32.5,29
Jets,402,243,60.4,6,2401,14,12,122,30.4,36
Texans,445,306,68.8,7.7,3436,14,11,145,32.6,31
Packers,411,268,65.2,6.8,2782,14,6,139,33.8,29
Seahawks,473,314,66.4,7.2,3416,19,9,161,34,39
Buccaneers,476,311,65.3,7.7,3677,17,11,168,35.3,38
Dolphins,439,293,66.7,6.9,3044,17,11,139,31.7,42
Patriots,450,294,65.3,6.7,3005,14,7,145,32.2,26
Eagles,522,337,64.6,6.9,3612,29,6,179,34.3,37
Raiders,430,290,67.4,6.8,2901,15,10,144,33.5,33
Cardinals,399,279,69.9,7.6,3041,22,9,159,39.8,32
Falcons,428,260,60.8,6.6,2807,19,7,137,32,27
Steelers,442,264,59.7,7.2,3178,17,13,143,32.4,36
Bears,469,317,67.6,6.7,3140,24,15,154,32.8,21
Titans,424,286,67.4,7.6,3232,14,3,139,32.8,37
Ravens,487,293,60.2,5.6,2728,13,11,131,26.9,49
Broncos,435,289,66.4,7.6,3304,20,11,150,34.5,34
Giants,445,280,62.9,7,3118,15,13,141,31.7,23
49ers,495,327,66.1,6.4,3154,14,17,148,29.9,40
