Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Browns,326,1343,4.1,14,63,19.3
Ravens,316,1355,4.3,4,71,22.5
Falcons,366,1442,3.9,5,71,19.4
Bears,299,1088,3.6,7,64,21.4
Eagles,290,1222,4.2,8,75,25.9
49ers,263,1018,3.9,6,70,26.6
Lions,326,1259,3.9,13,73,22.4
Cowboys,336,1378,4.1,10,74,22
Saints,374,1710,4.6,9,89,23.8
Jaguars,302,1199,4,11,71,23.5
Giants,365,1756,4.8,19,99,27.1
Bills,318,1482,4.7,9,71,22.3
Dolphins,328,1242,3.8,13,83,25.3
Colts,411,1710,4.2,19,103,25.1
Rams,347,1472,4.2,11,87,25.1
Steelers,364,1533,4.2,8,75,20.6
Broncos,365,1872,5.1,13,92,25.2
Cardinals,408,1811,4.4,16,105,25.7
Panthers,379,1599,4.2,21,95,25.1
Texans,350,1243,3.6,15,86,24.6
Titans,377,1432,3.8,10,83,22
Patriots,358,1146,3.2,10,70,19.6
Buccaneers,328,1284,3.9,11,79,24.1
Packers,400,1844,4.6,13,104,26
Chiefs,325,1494,4.6,8,83,25.5
Chargers,350,1471,4.2,14,85,24.3
Vikings,326,1208,3.7,7,76,23.3
Raiders,377,1656,4.4,12,94,24.9
Seahawks,362,1604,4.4,17,93,25.7
Commanders,339,1480,4.4,10,80,23.6
Bengals,350,1653,4.7,14,101,28.9
Jets,418,1714,4.1,8,87,20.8
