Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Ravens,38,97.4,27,100,0,0
Texans,35,85.4,22,88,0,1
Eagles,35,85.4,30,96.8,2,0
Falcons,34,91.9,56,98.2,0,0
Redskins,34,81,36,92.3,0,1
Seahawks,33,89.2,29,82.9,0,0
Lions,31,86.1,31,93.9,0,2
Chiefs,31,88.6,36,92.3,1,2
Panthers,30,79,31,91.2,0,0
Broncos,29,85.3,32,97,0,0
Raiders,29,82.9,37,94.9,0,0
Bengals,28,80,29,82.9,0,0
Saints,28,82.4,49,98,0,0
Cowboys,27,84.4,46,100,0,0
Colts,27,87.1,44,100,1,0
Jaguars,27,79.4,29,90.6,1,0
Vikings,27,87.1,26,78.8,1,2
Patriots,27,84.4,46,93.9,0,0
Jets,27,87.1,24,92.3,0,0
Packers,26,86.7,44,93.6,0,0
Chargers,26,81.2,42,91.3,0,0
Steelers,24,85.7,37,100,0,0
Titans,22,91.7,39,95.1,0,0
Buccaneers,22,71,32,94.1,0,0
Browns,21,77.8,23,92,0,0
Giants,21,95.4,31,88.6,0,0
Cardinals,21,75,43,91.5,0,0
Bills,19,76,40,88.9,0,0
Rams,19,86.4,23,100,0,0
Bears,18,78.3,31,96.9,0,1
49ers,18,85.7,33,97.1,0,0
Dolphins,16,76.2,41,97.6,1,1
