Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Falcons,112,7236,72,64.3,40,22.6,0,0,0,0
Patriots,93,5961,52,55.9,40,19.3,0,0,1,0
Saints,93,5693,49,52.7,40,22.4,4,1,1,0
Chargers,92,5822,67,72.8,21,24,2,0,2,0
Redskins,92,5790,65,70.6,25,21.4,2,0,1,1
Cowboys,91,5827,57,62.6,33,22.6,1,0,0,0
Packers,89,5608,46,51.7,41,26.3,2,0,1,1
Colts,89,5697,49,55.1,39,21.2,1,1,0,0
Raiders,88,5630,43,48.9,45,19.9,0,0,0,0
Panthers,87,5566,63,72.4,23,18.1,1,0,0,0
Eagles,87,5439,46,52.9,38,18.7,3,0,0,0
Seahawks,87,5542,54,62.1,32,20.4,1,0,0,0
Chiefs,86,5394,48,55.8,35,24.1,2,0,1,0
Steelers,86,5424,52,60.5,29,24.7,2,0,3,0
Bills,84,5074,35,41.7,46,21.7,3,0,1,0
Titans,83,5176,58,69.9,21,22,3,0,2,0
Cardinals,83,5220,52,62.6,29,23.1,2,0,1,1
Ravens,81,5137,52,64.2,27,20.7,1,0,1,0
Broncos,81,4969,51,63,26,20.2,3,1,1,1
Buccaneers,81,5115,52,64.2,25,23.3,3,0,1,0
Lions,80,4933,53,66.2,23,21.5,3,0,1,0
Vikings,79,4932,38,48.1,38,25.8,3,1,1,1
Bengals,77,4854,36,46.8,40,22.3,1,0,0,0
Jaguars,77,4724,60,77.9,13,21,4,0,2,0
Texans,76,4590,23,30.3,48,23.6,4,1,1,1
Dolphins,74,4768,43,58.1,31,20.4,0,0,0,0
Giants,72,4511,37,51.4,32,22.8,1,0,2,0
49ers,72,4320,24,33.3,44,19.8,2,0,2,0
Jets,70,4425,39,55.7,29,22.9,1,0,0,1
Browns,66,4100,38,57.6,24,21.2,3,1,2,0
Bears,65,4022,26,40,36,21.6,3,1,0,0
Rams,59,3794,36,61,22,19.6,1,0,0,0
