Team,INT,INT TD,INT Yds,Lng
Bears,24,8,488,74
Cardinals,22,2,306,102
Giants,21,1,496,70
Redskins,21,3,257,49
Falcons,20,1,246,79T
Patriots,20,2,371,87
Titans,19,4,358,79
Packers,18,1,246,72
Seahawks,18,2,255,57T
Buccaneers,18,3,419,83
Browns,17,2,230,50
Rams,17,4,382,42T
Broncos,16,5,347,98
Texans,15,3,333,86
Saints,15,4,369,99
Bengals,14,2,164,44
Chargers,14,5,336,80
Niners,14,2,216,63
Ravens,13,2,196,63
Bills,12,1,178,45
Colts,12,4,155,51
Jaguars,12,0,122,21T
Panthers,11,3,181,74
Lions,11,0,135,29
Raiders,11,0,91,24
Jets,11,2,117,40
Dolphins,10,0,99,31
Vikings,10,3,224,56
Steelers,10,1,127,53T
Eagles,8,0,31,14
Cowboys,7,1,147,47
Chiefs,7,0,119,32T
