Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Seahawks,368,1649,4.5,8,80,21.7
Patriots,415,1630,3.9,10,100,24.1
Redskins,363,1532,4.2,11,89,24.5
Texans,390,1560,4,5,94,24.1
Chiefs,482,2171,4.5,11,106,22
Jets,495,2138,4.3,17,96,19.4
Niners,407,1507,3.7,7,72,17.7
Vikings,427,1692,4,10,82,19.2
Broncos,404,1458,3.6,5,73,18.1
Bears,388,1627,4.2,6,75,19.3
Panthers,416,1761,4.2,11,98,23.6
Ravens,492,1965,4,15,105,21.3
Bills,470,2333,5,23,136,28.9
Colts,428,2200,5.1,14,102,23.8
Dolphins,431,1734,4,10,79,18.3
Packers,418,1896,4.5,12,83,19.9
Bengals,423,1715,4,13,99,23.4
Buccaneers,377,1320,3.5,13,75,19.9
Eagles,479,2021,4.2,11,108,22.6
Steelers,391,1450,3.7,9,78,20
Chargers,406,1542,3.8,10,85,20.9
Rams,442,1880,4.2,18,107,24.2
Giants,449,2066,4.6,9,104,23.2
Browns,457,1898,4.2,14,104,22.8
Lions,420,1889,4.5,13,107,25.5
Falcons,411,1971,4.8,16,99,24.1
Titans,483,2035,4.2,16,122,25.3
Raiders,444,1897,4.3,18,95,21.4
Saints,457,2361,5.2,18,116,25.4
Jaguars,545,2256,4.1,19,133,24.4
Cowboys,441,2003,4.5,17,92,20.9
Cardinals,506,2192,4.3,12,107,21.2
