Team,INT,INT TD,INT Yds,Lng
Browns,33,4,499,97
Buccaneers,28,2,419,98
Panthers,24,1,374,49
49ers,24,2,330,97T
Redskins,23,1,209,67T
Broncos,22,1,240,42T
Patriots,22,5,422,78
Rams,21,4,369,93
Bears,20,3,372,67
Packers,20,2,344,69
Jets,20,2,390,63
Chargers,19,1,162,37T
Falcons,18,0,154,33
Raiders,17,2,306,39T
Dolphins,17,5,412,100
Cardinals,17,3,294,61
Ravens,16,1,195,64T
Lions,16,3,217,74
Steelers,16,2,270,62
Colts,15,1,158,30T
Saints,15,0,209,40
Giants,15,1,129,34T
Eagles,14,2,152,50
Seahawks,14,2,186,55
Bengals,13,1,192,66T
Titans,13,0,78,36
Chiefs,13,1,166,51T
Jaguars,12,0,83,39
Bills,11,3,139,48
Cowboys,9,3,191,71
Vikings,8,1,47,27T
