Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Lions,514,312,60.7,6.9,3528,30,16,189,36.8,31
Bengals,512,311,60.7,6.2,3157,23,13,173,33.8,48
Buccaneers,493,273,55.4,6,2951,20,28,156,31.6,42
Panthers,510,306,60,7.1,3642,25,24,187,36.7,26
Giants,521,298,57.2,6.6,3430,25,15,161,30.9,46
Saints,452,278,61.5,7.4,3355,30,15,169,37.4,53
Ravens,555,321,57.8,5.5,3035,16,16,161,29,45
Bills,453,284,62.7,7,3159,23,11,154,34,34
Colts,509,311,61.1,7.1,3600,30,15,195,38.3,40
Vikings,478,291,60.9,7,3367,16,8,166,34.7,30
Raiders,528,290,54.9,5.8,3083,16,17,165,31.2,41
Rams,541,314,58,5.7,3097,16,21,153,28.3,45
Chargers,535,317,59.2,6.4,3400,24,19,166,31,41
Jaguars,544,354,65.1,6.4,3459,13,12,193,35.5,43
Bears,602,355,59,6.1,3665,12,20,191,31.7,48
Chiefs,491,296,60.3,6.4,3164,19,13,167,34,31
Cardinals,556,337,60.6,6.5,3598,26,17,179,32.2,19
Eagles,517,288,55.7,5.5,2864,13,14,150,29,45
Titans,559,328,58.7,7.3,4084,27,13,192,34.4,32
Broncos,515,308,59.8,6.4,3282,23,22,176,34.2,39
Packers,583,341,58.5,5.4,3168,14,20,176,30.2,52
49ers,567,332,58.6,6,3383,18,24,179,31.6,32
Falcons,515,331,64.3,7.6,3902,29,18,184,35.7,37
Patriots,546,299,54.8,6.4,3497,15,22,171,31.3,41
Browns,552,309,56,5.6,3089,18,33,161,29.2,43
Jets,516,313,60.7,5.8,2999,14,20,155,30,33
Seahawks,563,339,60.2,6.2,3485,20,14,186,33,38
Steelers,525,295,56.2,5.6,2942,19,16,160,30.5,55
Dolphins,467,262,56.1,6.1,2829,22,17,148,31.7,37
Redskins,473,262,55.4,6.3,2977,19,23,149,31.5,25
Cowboys,489,287,58.7,5.9,2889,20,9,160,32.7,24
