Team,FF,FR,FR TD
Eagles,28,0,0
Bears,24,0,0
Seahawks,24,0,0
Jets,21,0,0
Browns,20,0,0
Packers,20,0,0
Saints,20,0,0
49ers,20,0,0
Ravens,19,0,0
Dolphins,19,0,0
Steelers,19,0,0
Redskins,19,0,0
Bills,17,0,0
Cowboys,17,0,0
Jaguars,17,0,0
Chiefs,17,0,0
Rams,16,0,0
Chargers,16,0,0
Panthers,15,0,0
Broncos,15,0,0
Vikings,15,0,0
Giants,15,0,0
Buccaneers,15,0,0
Falcons,14,0,0
Bengals,14,0,0
Titans,14,0,0
Patriots,12,0,0
Colts,11,0,0
Raiders,11,0,0
Cardinals,11,0,0
Lions,6,0,0
