Team,FR TD,SFTY,INT TD
Raiders,2,1,3
Vikings,2,0,0
Browns,1,0,2
Broncos,1,1,0
Packers,1,0,1
Texans,1,0,0
Colts,1,0,3
Chiefs,1,0,0
Patriots,1,1,0
Saints,1,0,1
Jets,1,3,2
Eagles,1,1,2
Cardinals,1,0,0
Steelers,1,1,1
Falcons,0,1,1
Ravens,0,1,1
Bills,0,0,2
Panthers,0,0,2
Bears,0,0,2
Bengals,0,0,1
Cowboys,0,1,5
Lions,0,1,1
Titans,0,0,1
Jaguars,0,0,2
Rams,0,2,0
Dolphins,0,0,4
Giants,0,0,3
Chargers,0,0,0
49ers,0,1,1
Seahawks,0,0,3
Buccaneers,0,1,1
Commanders,0,0,0
