Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Browns,218,64,15,6,77,19.7,943
Panthers,205,78,10,7,114,23.8,952
Giants,203,75,18,10,125,27.7,1026
Bears,212,91,23,10,78,21.6,975
Saints,215,74,25,11,97,22.2,994
Colts,227,84,25,17,118,24.1,1081
Cowboys,201,77,33,16,105,23.8,964
Jets,228,89,13,7,108,21.8,1029
Buccaneers,213,90,23,10,93,23.7,1031
Texans,216,80,28,16,99,23,1017
Chargers,216,83,31,18,104,23.7,1054
Steelers,220,87,17,7,91,21.2,1017
Lions,189,73,23,13,85,22,967
Falcons,218,74,22,10,93,20,1024
Jaguars,219,78,40,21,91,23,1023
Packers,213,89,29,13,116,24.8,1015
Eagles,219,102,34,19,102,26.8,1039
Cardinals,193,91,15,7,132,26.6,1007
Rams,218,83,29,15,99,24.5,1020
Vikings,223,95,23,16,99,23.4,1039
Broncos,189,60,34,16,109,24.9,1017
Patriots,222,83,18,10,91,20.8,1028
Bengals,202,85,14,6,122,28.2,1002
Commanders,216,88,20,12,115,25.5,1048
Bills,205,79,19,10,91,23.4,967
Chiefs,205,76,25,11,99,24.6,965
Raiders,215,90,23,12,112,24.4,1030
Titans,217,81,18,12,98,21.4,1030
Seahawks,218,102,24,11,130,27.2,1078
Ravens,235,85,32,13,88,23.4,1047
Dolphins,201,75,27,13,98,24.7,980
49ers,200,79,24,11,90,27,976
