Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Ravens,38,41,92.7,0_0,10_10,13_12,11_10,6_5,1_1,61,0
Patriots,38,41,92.7,1_1,8_8,13_13,13_11,6_5,0_0,54,0
Colts,35,40,87.5,0_0,6_6,11_10,17_15,6_4,0_0,52,1
Chargers,34,37,91.9,1_1,9_9,16_13,9_9,2_2,0_0,50,2
Bills,33,36,91.7,0_0,13_13,6_6,11_10,6_4,0_0,55,0
Packers,33,37,89.2,1_1,13_13,8_8,8_6,7_5,0_0,57,0
Jets,33,36,91.7,0_0,8_8,11_10,14_12,3_3,0_0,54,0
Seahawks,33,35,94.3,0_0,11_10,9_9,12_11,3_3,0_0,53,1
Niners,32,36,88.9,0_0,13_12,6_6,11_10,5_4,1_0,56,0
Cardinals,30,36,83.3,0_0,11_9,8_7,12_11,5_3,0_0,52,1
Steelers,30,32,93.8,0_0,9_9,15_13,8_8,0_0,0_0,48,0
Cowboys,28,30,93.3,2_2,2_2,9_8,10_10,7_6,0_0,53,0
Bears,26,29,89.7,0_0,11_11,7_6,7_6,3_3,1_0,58,0
Texans,26,35,74.3,1_1,7_7,5_5,17_12,5_1,0_0,51,1
Rams,26,28,92.9,0_0,7_7,10_10,9_8,2_1,0_0,54,0
Dolphins,26,34,76.5,1_1,4_4,12_10,10_8,7_3,0_0,54,1
Vikings,26,30,86.7,0_0,7_7,12_12,6_5,5_2,0_0,54,0
Broncos,25,26,96.2,2_2,4_4,5_5,8_8,6_5,1_1,64,0
Titans,25,29,86.2,0_0,10_10,9_8,7_5,3_2,0_0,55,0
Falcons,24,27,88.9,0_0,9_9,8_7,5_5,5_3,0_0,53,0
Panthers,24,27,88.9,0_0,9_9,5_4,7_5,6_6,0_0,55,1
Saints,24,32,75,2_2,7_6,8_5,14_10,1_1,0_0,55,1
Jaguars,23,25,92,0_0,3_3,12_12,5_4,4_4,1_0,55,1
Giants,23,26,88.5,0_0,8_8,8_7,8_7,2_1,0_0,52,0
Eagles,23,28,82.1,0_0,8_8,8_7,10_7,1_1,1_0,51,0
Buccaneers,23,29,79.3,0_0,3_3,14_12,6_4,6_4,0_0,54,0
Chiefs,22,28,78.6,0_0,6_6,10_9,8_6,4_1,0_0,51,1
Browns,21,26,80.8,0_0,7_7,6_5,9_7,4_2,0_0,51,1
Raiders,21,30,70,0_0,6_6,6_4,11_8,7_3,0_0,53,0
Redskins,21,26,80.8,0_0,6_5,10_10,7_5,3_1,0_0,50,2
Lions,19,24,79.2,1_1,5_5,8_6,7_4,3_3,0_0,53,2
Bengals,18,22,81.8,0_0,2_2,7_6,9_7,4_3,0_0,54,0
