Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Rams,44.2,3450,78,46.3,64,3609,19,11,10,4,23,30,79,0,0
Dolphins,42.4,3603,85,48.8,74,4150,33,15,8,7,13,42,407,0,0
Falcons,42.3,2875,68,46.6,63,3166,26,1,9,2,23,33,251,0,2
Saints,42.3,2579,61,46.9,61,2859,25,13,7,5,12,24,180,0,0
Niners,41.7,3294,79,48.2,62,3804,27,3,8,9,21,38,330,0,0
Panthers,41.6,2909,70,47.8,72,3344,25,6,10,5,13,36,335,0,0
Raiders,41.1,3449,84,48.9,66,4107,23,9,11,11,11,42,438,1,2
Lions,41,2949,72,47.2,72,3399,22,5,7,10,18,32,250,0,1
Eagles,41,3358,82,44.9,70,3681,33,9,18,5,22,28,223,1,1
Jaguars,40.5,3848,95,45.7,61,4338,31,6,12,8,22,47,330,0,0
Chiefs,40.3,3548,88,45.8,65,4034,35,4,15,12,19,38,246,0,1
Seahawks,40.2,2977,74,42.7,69,3159,28,2,16,5,30,21,82,0,2
Titans,40.2,3136,78,43.4,63,3386,32,7,9,2,25,35,210,0,1
Cardinals,40.1,3125,78,45.7,60,3566,35,3,13,6,20,36,321,0,0
Texans,40,3519,88,47.6,65,4189,34,2,13,7,23,43,530,1,0
Chargers,40,2239,56,43.2,61,2417,30,6,11,1,19,19,158,0,0
Bengals,40,2996,75,44.4,75,3330,27,14,8,4,22,27,254,1,0
Patriots,39.8,3062,77,45.8,65,3523,29,7,15,12,14,29,221,0,0
Broncos,39.4,2559,65,44.5,60,2893,23,1,8,3,25,28,274,0,1
Ravens,39.3,3539,90,46,69,4138,27,12,9,9,14,46,419,0,1
Vikings,39.2,2938,75,44.2,65,3316,23,2,14,3,20,36,318,1,0
Cowboys,39.1,3008,77,45,62,3467,30,2,5,6,27,37,339,0,0
Colts,39,2963,76,46,65,3499,27,8,15,7,17,29,396,1,1
Jets,39,3430,88,45.7,84,4018,24,12,7,5,21,43,488,0,1
Packers,39,2493,64,44.6,62,2854,22,9,11,5,19,20,261,0,0
Bears,38.4,2612,68,40.6,65,2763,27,11,15,2,25,15,111,0,1
Buccaneers,38.3,3333,87,44.2,62,3846,19,14,12,6,20,35,393,0,0
Giants,38.2,3476,91,46.9,68,4271,25,12,7,7,17,48,655,3,0
Browns,38.1,3236,85,43.7,59,3713,28,6,10,6,25,38,357,0,1
Steelers,36.2,2712,75,41.7,70,3125,17,8,11,5,16,35,313,0,1
Bills,36.1,3467,96,43,66,4124,26,14,6,9,22,45,477,1,0
Redskins,34.2,2871,84,42,63,3526,26,18,9,0,18,39,655,3,1
