Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Ravens,38,92.7,26,100,1,1
Patriots,38,92.7,44,100,0,0
Colts,35,87.5,34,100,0,0
Chargers,34,91.9,42,100,0,0
Bills,33,91.7,32,100,0,0
Packers,33,89.2,42,100,0,1
Jets,33,91.7,27,100,0,0
Seahawks,33,94.3,44,100,0,0
Niners,32,88.9,44,100,0,0
Cardinals,30,83.3,37,100,0,0
Steelers,30,93.8,39,100,0,1
Cowboys,28,93.3,47,100,0,1
Bears,26,89.7,45,97.8,0,1
Texans,26,74.3,26,100,0,1
Rams,26,92.9,34,100,0,1
Dolphins,26,76.5,33,100,0,0
Vikings,26,86.7,43,97.7,2,1
Broncos,25,96.2,75,100,1,1
Titans,25,86.2,41,100,0,0
Falcons,24,88.9,39,100,0,0
Panthers,24,88.9,42,100,0,0
Saints,24,75,48,100,0,0
Jaguars,23,92,22,95.6,0,0
Giants,23,88.5,31,100,0,0
Eagles,23,82.1,45,100,0,0
Buccaneers,23,79.3,31,100,0,0
Chiefs,22,78.6,52,100,2,2
Browns,21,80.8,33,100,0,1
Raiders,21,70,37,100,0,0
Redskins,21,80.8,33,100,0,0
Lions,19,79.2,42,97.7,1,1
Bengals,18,81.8,52,98.1,0,0
