Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Chiefs,29.9,44,1316,2,34,7,108,0,1
Ravens,26.4,44,1163,1,34,3,77,0,1
Jaguars,25.8,41,1060,0,35,4,59,0,0
Cowboys,25.5,45,1147,0,30,3,90,1,1
Bengals,25.1,39,980,0,29,3,71,1,1
Broncos,25,39,974,1,25,3,105,0,0
Vikings,24.9,66,1646,2,37,10,109T,0,2
Titans,24.9,44,1096,0,33,2,95T,0,2
Texans,24.6,51,1257,0,35,4,50T,0,2
Falcons,24.4,27,659,0,23,1,40,0,0
Lions,24,34,816,1,20,3,98T,0,0
Patriots,24,39,935,0,28,3,83,0,0
Buccaneers,23.8,34,811,0,25,2,44,1,3
Colts,23.5,43,1011,0,34,0,39T,0,0
Browns,23.3,40,931,0,24,3,86,0,0
Bears,23.1,70,1614,0,44,5,80T,1,4
Saints,23,22,506,0,15,1,82,0,1
Jets,22.7,45,1021,0,26,2,42T,0,0
Niners,22.7,32,726,0,23,2,47,0,2
Rams,22.6,37,835,0,28,0,32T,0,0
Steelers,22.4,43,962,0,27,4,46,0,0
Raiders,22.2,54,1201,0,39,1,41,0,3
Chargers,22.1,32,707,0,23,1,42T,1,1
Panthers,21.9,28,612,0,15,0,38T,0,1
Eagles,21.4,37,790,0,24,2,47T,0,0
Dolphins,21.3,42,893,0,22,2,50T,0,1
Giants,21.2,44,933,0,26,2,56T,0,1
Seahawks,21.2,33,698,0,21,2,58,0,4
Bills,20.4,23,469,0,12,0,28,0,0
Packers,20.3,39,791,0,18,1,70T,0,1
Cardinals,20,27,540,0,15,1,46,0,1
Redskins,20,51,1018,0,28,0,39,0,1
