Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Vikings,15.2,22,335,1,5,2,86,28,3
Bears,14.2,18,256,1,4,2,81,12,1
Ravens,14.2,43,609,1,12,1,82T,16,1
Steelers,12.8,32,409,1,7,5,67T,23,1
Cowboys,12.4,31,386,1,5,2,86T,13,2
Chiefs,11.8,59,695,2,11,3,89T,11,2
Packers,11.3,30,339,1,4,1,93,21,3
Buccaneers,11.2,24,268,0,3,2,52,20,2
Seahawks,11.1,52,579,0,8,1,71,14,2
Browns,11,38,418,1,7,2,79T,28,3
Patriots,10.8,36,387,0,4,1,43,23,5
Panthers,10.5,30,316,0,5,1,41,26,3
Lions,10.3,38,392,1,5,4,58T,29,1
Colts,9.9,33,326,0,3,1,51,25,3
Bengals,9,47,424,0,4,1,43,16,1
Jets,9,25,224,0,2,0,24T,12,0
Niners,8.9,35,312,0,3,1,40,32,3
Rams,8.8,43,378,1,5,1,98,11,4
Texans,8.6,42,360,1,2,2,87T,21,0
Falcons,8.3,30,250,0,3,0,25T,13,3
Raiders,8.2,25,206,0,2,0,30T,19,3
Broncos,7.8,44,343,1,4,1,81,15,7
Dolphins,7.8,34,264,0,3,0,34,20,2
Titans,7.7,31,240,0,3,0,35,20,5
Chargers,7.6,22,166,0,3,0,28,20,2
Giants,7.2,34,246,0,1,0,32,26,4
Eagles,6.6,26,171,0,3,0,32,20,1
Redskins,6.4,35,225,0,1,0,34,11,3
Bills,6.2,39,243,0,2,0,25,22,7
Saints,6.1,32,194,0,2,0,28,25,2
Cardinals,5.8,34,198,0,1,0,22,23,4
Jaguars,4.7,30,142,0,0,0,17,21,0
