Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Cowboys,34,38,89.5,1_1,16_16,9_9,10_7,0_0,0_0,53,1
Colts,32,41,78,0_0,9_9,14_12,15_10,0_0,0_0,50,0
Jaguars,31,36,86.1,2_2,14_12,9_8,9_7,0_0,0_0,52,0
49ers,29,36,80.6,0_0,11_11,12_9,10_8,0_0,0_0,51,2
Broncos,28,39,71.8,0_0,12_11,13_11,9_3,0_0,0_0,53,2
Dolphins,28,36,77.8,2_2,15_14,10_8,6_3,0_0,0_0,50,1
Jets,28,41,68.3,1_1,11_10,17_11,6_2,0_0,0_0,55,1
Oilers,27,35,77.1,2_2,6_6,11_10,14_7,0_0,0_0,52,0
Ravens,26,34,76.5,0_0,9_8,12_12,11_6,0_0,0_0,49,2
Lions,26,29,89.7,0_0,10_10,9_8,5_5,0_0,0_0,55,0
Chiefs,26,27,96.3,0_0,9_9,3_3,13_12,0_0,0_0,54,0
Chargers,26,31,83.9,0_0,8_7,12_12,11_7,0_0,0_0,45,3
Rams,25,37,67.6,0_0,9_8,12_8,14_7,0_0,0_0,52,1
Patriots,25,29,86.2,0_0,11_11,9_7,8_6,0_0,0_0,52,0
Bills,24,30,80,0_0,6_6,12_9,10_8,0_0,0_0,55,1
Packers,24,30,80,4_4,8_7,13_10,4_2,0_0,0_0,50,2
Falcons,23,27,85.2,1_1,10_10,7_7,6_3,0_0,0_0,55,0
Saints,23,27,85.2,1_1,2_2,10_10,9_6,0_0,0_0,53,1
Panthers,22,26,84.6,1_1,7_6,8_8,4_4,0_0,0_0,54,1
Giants,22,32,68.8,1_1,6_6,7_6,14_8,0_0,0_0,52,0
Eagles,22,31,71,0_0,7_7,12_11,11_4,0_0,0_0,49,0
Steelers,22,25,88,1_1,6_6,8_8,8_6,0_0,0_0,52,1
Seahawks,22,28,78.6,0_0,9_9,10_7,7_5,0_0,0_0,52,1
Bears,21,26,80.8,0_0,9_8,10_8,6_4,0_0,0_0,52,1
Vikings,19,27,70.4,0_0,12_11,5_3,9_5,0_0,0_0,49,0
Cardinals,19,29,65.5,1_1,7_7,8_6,11_5,0_0,0_0,49,0
Redskins,16,24,66.7,2_2,4_4,6_5,8_4,0_0,0_0,50,0
Raiders,13,22,59.1,0_0,5_3,6_4,10_5,0_0,0_0,53,2
Buccaneers,13,17,76.5,0_0,5_5,3_2,6_5,0_0,0_0,54,0
Bengals,12,16,75,0_0,4_4,3_3,7_5,0_0,0_0,46,1
