Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,13.5,41,555,3,6,3,94T,22,3
Ravens,13.4,42,564,2,6,3,89T,14,4
Vikings,13.1,34,444,0,7,1,57,19,0
Buccaneers,12.6,51,645,1,13,2,63,12,4
49ers,11.8,41,482,1,8,1,73T,16,4
Redskins,11.6,38,442,1,6,2,63T,23,1
Jaguars,11.4,36,412,0,5,2,52,16,1
Jets,11.4,59,674,1,7,3,66T,8,4
Cardinals,11.2,41,461,0,5,1,50,16,3
Chiefs,10.9,35,383,1,4,2,82T,14,4
Cowboys,10.9,47,512,1,5,2,83T,14,3
Dolphins,10.5,32,335,0,6,0,38,16,0
Chargers,10.4,47,489,3,4,3,85T,8,2
Patriots,10.4,45,467,0,5,1,47,8,2
Saints,10.3,48,496,0,6,0,32,26,2
Giants,9.7,47,455,1,4,2,53T,19,0
Falcons,9.3,52,483,0,4,0,38,14,5
Packers,9.2,56,515,0,9,1,46,17,5
Lions,9,48,433,0,3,1,40,26,2
Bills,8.9,39,346,0,3,1,47,19,7
Colts,8,31,248,0,2,0,20,10,1
Raiders,7.8,27,210,0,4,0,31,20,1
Bengals,7.7,26,201,0,0,0,18,19,3
Oilers,7.6,32,244,0,3,0,30,13,4
Panthers,7.6,41,310,0,2,1,40,23,5
Eagles,7.6,31,234,0,3,1,42,21,6
Bears,7,46,321,0,0,0,19,8,3
Steelers,6.9,32,222,0,2,0,30,10,1
Rams,6.8,40,274,0,5,1,43,23,1
Seahawks,6.7,37,248,0,2,0,28,18,4
