Team,INT,INT TD,INT Yds,Lng
Seahawks,30,2,336,42
Rams,29,7,567,91
Eagles,28,5,625,84
Packers,26,1,137,60T
Chiefs,25,5,378,56
Cowboys,24,4,442,95
Jets,24,3,443,98
Redskins,24,3,375,88
Ravens,21,4,403,66
Buccaneers,21,2,355,55T
Raiders,20,1,247,36T
Jaguars,19,3,330,93
Saints,19,0,138,27
Dolphins,18,1,243,42
Giants,17,2,232,44
Cardinals,17,3,276,78
Lions,16,1,235,41T
Titans,16,1,257,43T
Patriots,16,2,110,57
Panthers,15,0,169,44
Broncos,15,1,169,45T
Chargers,15,0,123,68
Bears,14,1,229,41T
Steelers,14,0,149,25
49ers,13,2,209,64
Falcons,12,1,166,52T
Bills,12,0,180,52
Bengals,12,1,100,58T
Vikings,12,1,66,27T
Colts,10,1,287,74T
Browns,8,0,52,14
