Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Bears,229,93,11,2,89,20.3,1058
Chiefs,215,65,13,6,80,19.3,1033
Chargers,229,84,11,6,77,17.8,1022
Dolphins,208,60,16,8,79,19.1,936
Jaguars,215,72,20,5,72,19.3,951
Eagles,233,88,15,9,125,24.1,1124
Steelers,203,64,16,8,92,20.4,953
Giants,219,74,17,5,81,18.1,990
Bills,220,69,18,6,73,17.9,950
Buccaneers,232,75,13,4,75,20.8,977
Bengals,209,85,13,5,99,21.8,1011
Ravens,252,86,15,7,70,17.9,1040
Jets,221,90,13,6,97,22.6,1030
Broncos,203,64,11,5,88,20,961
Patriots,231,81,18,5,106,21.8,1048
Titans,200,70,14,4,81,21.2,994
Cardinals,232,94,15,4,128,23.6,1068
Cowboys,221,71,9,4,81,19.4,997
Raiders,212,70,14,7,85,21.4,981
Lions,213,84,13,4,87,22.1,1017
Packers,223,87,20,8,103,21.8,1040
Saints,204,79,11,8,105,24.3,966
Seahawks,239,89,18,8,107,22.1,1104
Redskins,232,91,21,11,107,24.4,1068
49ers,202,81,11,7,91,21.4,979
Panthers,214,89,20,11,115,25.6,1042
Vikings,227,89,15,8,83,20.1,1065
Browns,235,110,13,8,161,26.4,1158
Rams,228,77,25,12,53,15.7,991
Colts,208,73,16,7,92,22.7,1008
Falcons,220,86,18,8,111,22.8,995
