Player,FF,FR,FR TD
Mike Adamle,0,2,0
Coy Bacon,0,2,0
Dave Brown,0,0,0
Ron Fernandes,0,0,0
Tommy Hart,0,0,0
Tom Henderson,0,0,0
Ted Hendricks,0,0,0
Claude Humphrey,0,1,0
Aaron Kyle,0,0,0
John Lohmeyer,0,2,0
Ron McDole,0,2,0
Mack Mitchell,0,0,0
Johnny Musso,0,0,0
Loren Toews,0,0,0
