Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Toni Linhart,84,0,0,7,8.3,0,0,0,0,0,0
Tom Dempsey,76,0,0,6,7.9,0,0,0,0,0,0
John Smith,76,0,0,5,6.6,0,0,0,0,0,0
Chris Bahr,70,0,0,4,5.7,0,0,0,0,0,0
Roy Gerela,70,0,0,10,14.3,0,0,0,0,0,0
Jim Bakken,69,0,0,2,2.9,0,0,0,0,0,0
Fred Cox,68,0,0,0,0,0,0,0,0,0,0
Mark Moseley,68,0,0,4,5.9,0,0,0,0,0,0
Jan Stenerud,66,0,0,7,10.6,0,0,0,0,0,0
Efren Herrera,65,0,0,2,3.1,0,0,0,0,0,0
Steve Mike-Mayer,64,0,0,18,28.1,0,0,0,0,0,0
Lonnie Perrin,63,0,0,18,28.6,0,0,0,0,0,0
Richie Szaro,62,0,0,6,9.7,0,0,0,0,0,0
Garo Yepremian,62,0,0,3,4.8,0,0,0,0,0,0
Don Cockroft,61,0,0,4,6.6,0,0,0,0,0,0
Ray Guy,60,0,0,6,10,0,0,0,0,0,0
Bob Thomas,57,0,0,3,5.3,0,0,0,0,0,0
Skip Butler,56,0,0,2,3.6,0,0,0,0,0,0
Chester Marcol,51,0,0,6,11.8,0,0,0,0,0,0
George Jakowenko,46,0,0,4,8.7,0,0,0,0,0,0
Pat Leahy,45,0,0,4,8.9,0,0,0,0,0,0
Benny Ricardo,45,0,0,0,0,0,0,0,0,0,0
John Leypoldt,44,0,0,2,4.6,0,0,0,0,0,0
Horst Muhlmann,44,0,0,1,2.3,0,0,0,0,0,0
Nick Mike-Mayer,40,0,0,6,15,0,0,0,0,0,0
Dave Green,37,0,0,0,0,0,0,0,0,0,0
Joe Danelo,36,0,0,2,5.6,0,0,0,0,0,0
Ray Wersching,29,0,0,1,3.4,0,0,0,0,0,0
Toni Fritsch,25,0,0,2,8,0,0,0,0,0,0
Errol Mann,12,0,0,1,8.3,0,0,0,0,0,0
Don Bitterlich,11,0,0,0,0,0,0,0,0,0,0
Ian Sunter,11,0,0,1,9.1,0,0,0,0,0,0
Brad Van Pelt,7,0,0,1,14.3,0,0,0,0,0,0
John James,5,0,0,0,0,0,0,0,0,0,0
Fred Steinfort,5,0,0,1,20,0,0,0,0,0,0
Jim Turner,5,0,0,0,0,0,0,0,0,0,0
Spike Jones,2,0,0,0,0,0,0,0,0,0,0
Mirro Roder,2,0,0,0,0,0,0,0,0,0,0
Duane Carrell,1,0,0,0,0,0,0,0,0,0,0
Dennis Franklin,1,0,0,0,0,0,0,0,0,0,0
Rusty Jackson,1,0,0,0,0,0,0,0,0,0,0
Dave Jennings,1,0,0,0,0,0,0,0,0,0,0
Terry Joyce,1,0,0,0,0,0,0,0,0,0,0
Bob Parsons,1,0,0,0,0,0,0,0,0,0,0
Bobby Walden,1,0,0,0,0,0,0,0,0,0,0
Tom Wittum,1,0,0,0,0,0,0,0,0,0,0
