Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Eagles,275,3236,11.8,23,0,0,80,147,53.4,0
49ers,233,2645,11.4,9,0,0,66,127,54.5,0
Giants,230,2762,12,14,0,0,48T,140,60.9,0
Oilers,225,2370,10.5,11,0,0,66,93,41.3,0
Cardinals,210,2592,12.3,16,0,0,80,111,52.9,0
Redskins,209,2560,12.2,20,0,0,64,131,62.7,0
Raiders,205,2611,12.7,16,0,0,80,139,67.8,0
Broncos,196,2706,13.8,22,0,0,76,127,64.8,0
Patriots,195,2581,13.2,13,0,0,64T,122,62.6,0
Cowboys,192,2602,13.6,26,0,0,53,127,66.2,0
Jets,181,2353,13,16,0,0,63,109,60.2,0
Bengals,180,2439,13.6,18,0,0,78,108,60,0
Vikings,179,2234,12.5,16,0,0,54,99,55.3,0
Chiefs,173,2039,11.8,10,0,0,48,93,53.8,0
Lions,171,2105,12.3,12,0,0,84,104,60.8,0
Falcons,168,2362,14.1,14,0,0,57T,100,59.5,0
Saints,163,1901,11.7,11,0,0,65T,88,54,0
Chargers,161,2129,13.2,9,0,0,69T,93,57.8,0
Browns,152,1741,11.4,10,0,0,51,79,52,0
Rams,144,2107,14.6,22,0,0,69,101,70.1,0
Steelers,140,2157,15.4,20,0,0,67,89,63.6,0
Colts,137,1746,12.7,14,0,0,66,79,57.7,0
Bears,136,1617,11.9,8,0,0,63T,77,56.6,0
Dolphins,133,1675,12.6,17,0,0,53,91,68.4,0
Packers,119,1503,12.6,7,0,0,50,72,60.5,0
Bills,96,1236,12.9,4,0,0,42T,60,62.5,0
