Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Rams,659,2925,4.4,18,0,0,49T,177,26.9,0
Bills,605,3088,5.1,20,0,0,80T,152,25.1,0
Steelers,555,2143,3.9,12,0,0,47,111,20,0
Raiders,547,2510,4.6,14,0,0,50T,129,23.6,0
Cowboys,542,2418,4.5,17,0,0,54,139,25.6,0
Vikings,538,2275,4.2,14,0,0,50,137,25.5,0
Colts,536,2031,3.8,9,0,0,36,121,22.6,0
Packers,527,1973,3.7,10,0,0,53,98,18.6,0
Falcons,518,2037,3.9,18,0,0,25,123,23.8,0
Bengals,515,2236,4.3,13,0,0,46,124,24.1,0
Chiefs,511,1793,3.5,11,0,0,28,106,20.7,0
Dolphins,507,2521,5,16,0,0,70,111,21.9,0
Browns,506,1968,3.9,12,0,0,65T,107,21.2,0
Saints,497,1842,3.7,5,0,0,23,100,20.1,0
Bears,496,1907,3.8,11,0,0,42,97,19.6,0
Lions,496,2133,4.3,17,0,0,57,122,24.6,0
Broncos,487,1954,4,16,0,0,72,111,22.8,0
Redskins,459,1439,3.1,9,0,0,27,76,16.6,0
Giants,456,1478,3.2,11,0,0,29,84,18.4,0
Patriots,454,1612,3.6,15,0,0,34,97,21.4,0
Jets,453,1864,4.1,7,0,0,52,95,21,0
Chargers,431,1814,4.2,9,0,0,68,88,20.4,0
49ers,422,1743,4.1,15,0,0,63,97,23,0
Eagles,417,1791,4.3,9,0,0,37T,103,24.7,0
Cardinals,416,1671,4,13,0,0,54,96,23.1,0
Oilers,386,1388,3.6,9,0,0,52,89,23.1,0
