Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Eagles,479,275,57.4,6.8,3236,23,13,82.8,147,30.7,0,0,80T,34,238
49ers,466,233,50,5.7,2645,9,25,51.5,127,27.2,0,0,66,27,164
Giants,412,230,55.8,6.7,2762,14,30,57.5,140,34,0,0,48,28,201
Oilers,411,225,54.7,5.8,2370,11,27,53.3,93,22.6,0,0,66T,43,451
Cardinals,394,210,53.3,6.6,2592,16,15,71.6,111,28.2,0,0,80,27,209
Patriots,380,195,51.3,6.8,2581,13,17,65.9,122,32.1,0,0,64,37,350
Broncos,378,196,51.8,7.2,2706,22,20,72.5,127,33.6,0,0,76,27,187
Jets,373,181,48.5,6.3,2353,16,22,58.5,109,29.2,0,0,63,37,297
Redskins,372,209,56.2,6.9,2560,20,14,79.8,131,35.2,0,0,64T,31,202
Chargers,363,161,44.4,5.9,2129,9,30,37.3,93,25.6,0,0,69T,37,321
Raiders,353,205,58.1,7.4,2611,16,18,75.2,139,39.4,0,0,80T,45,348
Saints,338,163,48.2,5.6,1901,11,17,55.6,88,26,0,0,65T,37,242
Bengals,332,180,54.2,7.4,2439,18,12,80.9,108,32.5,0,0,78T,24,163
Lions,327,171,52.3,6.4,2105,12,19,60.5,104,31.8,0,0,84T,27,192
Cowboys,321,192,59.8,8.1,2602,26,16,91.9,127,39.6,0,0,53T,43,269
Falcons,320,168,52.5,7.4,2362,14,12,75.6,100,31.2,0,0,57,41,361
Chiefs,313,173,55.3,6.5,2039,10,13,68.6,93,29.7,0,0,48,39,296
Steelers,309,140,45.3,7,2157,20,26,55.4,89,28.8,0,0,67,30,230
Browns,308,152,49.4,5.6,1741,10,20,50.5,79,25.6,0,0,51T,45,368
Bears,303,136,44.9,5.3,1617,8,16,48.5,77,25.4,0,0,63T,49,395
Colts,300,137,45.7,5.8,1746,14,25,45.2,79,26.3,0,0,66,32,271
Vikings,298,179,60.1,7.5,2234,16,9,88.7,99,33.2,0,0,54,32,278
Rams,271,144,53.1,7.8,2107,22,11,88.9,101,37.3,0,0,69T,17,126
Dolphins,256,133,52,6.5,1675,17,12,75.2,91,35.6,0,0,53,13,93
Packers,255,119,46.7,5.9,1503,7,17,46.9,72,28.2,0,0,50T,27,220
Bills,213,96,45.1,5.8,1236,4,14,42.7,60,28.2,0,0,42,31,239
