Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Bills,15.4,31,476,1,8,2,74T,4,2
Bears,14.8,44,651,4,10,4,89T,6,6
Browns,13.5,30,405,1,6,2,76T,10,3
Rams,11.9,30,357,1,4,1,85T,14,4
Seahawks,11.3,58,658,1,9,2,94T,8,2
Colts,11.2,25,280,1,3,1,90T,14,0
Packers,10.2,48,492,2,5,2,94,5,2
Jaguars,10.1,32,324,0,3,1,56,14,4
Ravens,9.7,35,338,2,3,2,75,12,4
Dolphins,9.6,24,230,1,2,1,87T,15,3
Patriots,9.4,33,311,0,5,0,35,18,2
Cardinals,9.4,42,395,1,3,2,73T,6,0
Jets,9.2,20,183,0,3,0,33,14,1
Broncos,9.1,23,209,1,2,1,80T,17,2
Chargers,8.8,32,281,1,5,1,45T,8,2
Titans,8.7,42,367,0,4,0,39,16,5
Cowboys,8.7,26,227,0,2,1,49,21,1
Texans,8.7,33,287,0,2,1,74,8,2
Niners,8.6,56,483,0,6,3,51,9,3
Panthers,8.4,32,269,0,3,0,34,19,2
Vikings,8.3,29,242,0,1,1,42,19,1
Lions,8.2,18,148,0,0,0,18,20,1
Saints,8.2,24,197,0,2,1,48,16,3
Eagles,8.1,42,340,0,3,1,64,12,6
Chiefs,7.6,40,302,0,3,0,22,14,3
Redskins,7.5,40,299,0,4,1,62,10,3
Giants,7.4,43,319,0,3,0,27,18,1
Buccaneers,6.7,50,334,0,4,0,35,13,2
Falcons,6.3,36,228,0,2,0,23,18,1
Steelers,6.1,39,238,0,3,1,49,9,4
Raiders,5.5,38,209,0,2,1,54T,16,7
Bengals,4.8,27,131,0,0,0,19,18,0
