Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Patriots,112,7220,15,13.4,92,22.1,0,0,3,1
Cowboys,94,5887,4,4.3,86,23,1,1,2,1
Packers,93,5857,14,15,77,20.9,2,0,1,0
Colts,91,5915,9,9.9,81,25,0,0,1,3
Seahawks,89,5613,13,14.6,72,24.9,3,0,1,0
Bengals,88,5377,8,9.1,76,22.8,1,0,2,0
Jaguars,88,5620,17,19.3,67,19.8,1,1,3,2
Steelers,86,5284,10,11.6,73,22.6,2,1,1,1
Browns,85,5221,5,5.9,76,20.9,0,0,2,0
Texans,84,5295,11,13.1,69,23.1,4,1,0,0
Chargers,84,5275,7,8.3,75,20.9,1,0,1,0
Lions,83,5394,13,15.7,65,26.9,2,0,3,2
Giants,83,5120,8,9.6,69,23.1,2,0,4,1
Cardinals,81,5216,17,21,60,23.2,3,3,0,0
Bears,79,4698,3,3.8,71,19.3,3,0,4,1
Vikings,79,4974,9,11.4,65,22.2,3,1,2,0
Buccaneers,79,4714,6,7.6,68,19.5,4,2,1,1
Eagles,78,4824,6,7.7,69,22.3,2,1,1,0
Saints,77,4781,16,20.8,56,22.4,5,1,2,1
Redskins,77,4495,6,7.8,66,19.5,3,1,3,1
Broncos,76,4956,13,17.1,62,23,0,0,1,1
Titans,75,5071,16,21.3,58,24.2,0,0,1,0
Ravens,72,4488,7,9.7,61,23.7,3,0,2,0
Falcons,68,4430,15,22.1,50,23,2,1,2,1
Raiders,68,4418,22,32.4,43,22.4,2,1,1,1
Dolphins,67,3878,8,11.9,50,25.8,6,0,3,2
Bills,66,4052,6,9.1,56,20.5,0,0,2,1
Panthers,66,4042,4,6.1,56,23.8,3,0,6,0
Rams,66,4183,5,7.6,58,27.2,1,0,1,2
Jets,65,3970,9,13.8,51,24.9,5,1,2,1
Chiefs,59,3897,5,8.5,51,21.7,0,0,3,0
Niners,57,3457,4,7,45,21.8,7,2,2,1
