Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Giants,165,51,23,11,91,42.5,60,19.4,699
Browns,153,50,13,7,93,47.2,82,23.9,721
Vikings,150,62,19,14,147,51.2,54,20.2,709
Saints,148,54,14,8,113,45.6,64,23.1,683
Bears,146,63,18,9,113,53.8,92,26.4,708
Panthers,145,54,23,13,104,44.6,59,25.1,652
Colts,143,56,18,8,106,49.8,60,21,648
Commanders,142,53,14,8,139,47.1,68,29.6,723
Cowboys,141,66,15,7,132,52.4,69,23.9,670
Falcons,140,58,13,6,110,54.2,75,24.1,663
Ravens,139,62,7,3,107,49.8,98,27.6,692
Chargers,139,60,17,10,127,53.4,52,20,641
Packers,138,60,18,10,112,56.3,47,19.5,615
Buccaneers,138,56,11,7,113,50,44,17.7,619
Lions,137,58,22,12,134,54.5,74,24.9,676
Texans,137,60,11,5,144,64,49,18,653
Eagles,137,66,17,13,111,49.6,93,29.3,671
Cardinals,136,48,22,6,107,49.1,71,24.5,668
Steelers,136,47,9,4,80,42.6,66,25.8,592
Rams,135,55,13,7,113,56.2,60,23,630
Bills,133,64,11,6,134,50.4,91,31.2,688
Raiders,132,43,17,10,118,52.9,48,18.3,644
Patriots,132,45,15,5,98,44.1,61,24.9,617
Jaguars,131,46,16,7,110,47.6,61,21,654
Jets,131,30,15,10,89,45,42,19.4,594
Bengals,129,46,11,5,120,47.6,52,24.9,616
Chiefs,129,59,10,5,130,50.8,67,26.2,652
Broncos,123,47,8,4,94,45.8,59,23.9,576
Seahawks,123,39,11,6,114,51.4,54,23,602
Titans,121,40,11,6,86,48.9,53,22,565
Dolphins,107,41,14,5,143,58.6,68,26.7,621
49ers,106,47,7,4,123,63.1,81,26.7,601
