Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens,355,1706,4.8,21,12,3,60T,98,27.6,4
Bears,348,1534,4.4,9,8,0,34,92,26.4,2
Browns,343,1427,4.2,11,7,3,69,82,23.9,4
Eagles,317,1281,4,15,6,1,43,93,29.3,6
Falcons,311,1304,4.2,9,6,0,38,75,24.1,5
Giants,309,1227,4,4,7,0,36T,60,19.4,3
49ers,303,1327,4.4,15,5,2,65,81,26.7,4
Lions,297,1366,4.6,16,9,3,75T,74,24.9,3
Bills,292,1295,4.4,12,7,1,42,91,31.2,5
Jaguars,290,1087,3.8,11,7,0,35T,61,21,2
Cardinals,290,1388,4.8,10,14,3,45T,71,24.5,3
Cowboys,289,1168,4,9,7,1,46,69,23.9,3
Colts,286,1180,4.1,13,9,3,56,60,21,3
Saints,277,1000,3.6,7,1,0,20T,64,23.1,2
Texans,273,995,3.6,6,2,0,22,49,18,3
Vikings,267,1032,3.9,5,2,0,31,54,20.2,9
Raiders,262,869,3.3,7,3,1,40T,48,18.3,5
Rams,261,1026,3.9,10,4,0,31,60,23,1
Chargers,260,1057,4.1,9,7,3,55T,52,20,2
Chiefs,256,1102,4.3,4,5,1,48T,67,26.2,1
Steelers,256,1101,4.3,7,9,1,74T,66,25.8,3
Dolphins,255,1430,5.6,17,14,7,76T,68,26.7,11
Buccaneers,248,769,3.1,4,1,0,31,44,17.7,1
Broncos,247,1102,4.5,1,7,0,38,59,23.9,2
Patriots,245,949,3.9,5,2,1,64T,61,24.9,1
Packers,241,990,4.1,6,7,1,40T,47,19.5,4
Titans,241,1050,4.4,6,6,1,63,53,22,3
Panthers,235,923,3.9,2,3,0,26,59,25.1,3
Seahawks,235,966,4.1,7,7,1,45T,54,23,1
Commanders,230,1053,4.6,8,7,0,29,68,29.6,5
Jets,216,998,4.6,3,6,3,83T,42,19.4,7
Bengals,209,809,3.9,4,3,0,22,52,24.9,0
