Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Commanders,295,3038,10.3,18,34,3,51,139,47.1,4
Vikings,287,3079,10.7,22,46,5,62,147,51.2,3
Bills,266,2875,10.8,22,30,6,81,134,50.4,5
Chiefs,256,2650,10.4,19,29,4,54,130,50.8,5
Bengals,252,2377,9.4,16,21,4,64,120,47.6,3
Cowboys,252,2718,10.8,19,41,4,60,132,52.4,4
Saints,248,2526,10.2,13,28,8,58,113,45.6,0
Lions,246,2743,11.2,16,42,5,46,134,54.5,3
Dolphins,244,3001,12.3,22,39,8,69,143,58.6,4
Chargers,238,2658,11.2,20,38,5,60,127,53.4,5
Panthers,233,2051,8.8,11,18,4,48T,104,44.6,3
Jaguars,231,2408,10.4,11,30,3,56,110,47.6,6
Buccaneers,226,2389,10.6,15,34,7,70T,113,50,5
Texans,225,2970,13.2,18,49,6,75,144,64,2
Eagles,224,2497,11.2,15,35,7,63,111,49.6,1
Raiders,223,2382,10.7,10,20,4,50T,118,52.9,1
Patriots,222,2135,9.6,10,19,2,58T,98,44.1,4
Seahawks,222,2470,11.1,12,30,5,64T,114,51.4,0
Cardinals,218,2094,9.6,9,21,3,69T,107,49.1,0
Ravens,215,2479,11.5,13,36,6,80T,107,49.8,6
Giants,214,1994,9.3,10,28,3,58,91,42.5,3
Colts,213,2298,10.8,11,30,6,75,106,49.8,2
Bears,210,2229,10.6,15,26,3,58T,113,53.8,4
Broncos,205,2065,10.1,19,24,5,60,94,45.8,6
Falcons,203,2260,11.1,9,27,5,60T,110,54.2,1
Rams,201,2432,12.1,9,39,3,49T,113,56.2,1
Packers,199,2317,11.6,16,32,4,77,112,56.3,3
Jets,198,1995,10.1,6,22,3,68,89,45,2
Browns,197,2028,10.3,8,22,6,59,93,47.2,3
49ers,195,2669,13.7,18,43,7,76,123,63.1,2
Steelers,188,1878,10,7,21,3,72,80,42.6,2
Titans,176,2061,11.7,9,32,9,70,86,48.9,1
