Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Rohn Stark,45.3,36.3,3302,91,68,4124,20,10,10,9,7,55,642,1,0
Rich Camarillo,44.6,37.1,3003,81,70,3615,25,11,5,11,6,48,392,0,0
Maury Buford,43.9,36.6,2304,63,60,2763,13,9,6,8,5,35,299,0,0
Reggie Roby,43.1,37,2740,75,64,3189,26,7,11,11,13,32,229,0,1
Ray Guy,42.8,35.9,2802,78,67,3336,17,15,8,10,10,35,334,2,0
Frank Garcia,42.2,33.3,3165,96,64,4008,16,4,9,12,11,59,603,1,1
Craig Colquitt,41.9,34.9,2794,80,58,3352,20,16,7,7,6,44,418,1,0
Pat McInally,41.8,34.5,2314,69,60,2804,13,8,4,9,5,41,310,0,2
Max Runager,41.7,34.2,2020,59,55,2459,12,10,3,5,4,37,339,0,0
Luke Prestridge,41.6,34,2956,87,60,3620,19,11,6,7,8,55,524,0,0
Bucky Scribner,41.6,34,2345,70,70,2869,11,5,6,7,8,43,384,1,1
Greg Coleman,41.5,36.5,3323,91,65,3780,28,25,8,8,10,40,297,0,0
Carl Birdsong,41.5,36.3,3082,85,59,3529,14,5,13,7,13,47,307,0,0
Mike Black,41,34.2,2429,72,60,2911,17,10,9,9,4,39,302,0,1
Russell Erxleben,41,30.8,2283,74,60,3034,10,3,4,9,9,49,571,2,0
Jeff Gossett,40.8,34.1,2385,70,60,2854,17,9,13,8,10,30,309,0,0
Danny White,40.6,32.9,1250,39,50,1543,6,2,4,3,3,26,233,0,1
Ralph Giacomarro,40.3,35.5,2484,71,57,2823,18,3,13,8,12,34,179,0,1
Dave Jennings,40.3,35.8,3003,85,66,3386,29,12,11,5,9,47,283,0,1
John Misko,40.3,34.3,2810,83,67,3301,18,11,8,12,12,39,251,0,1
Jim Arnold,39.9,32.6,3031,93,64,3710,21,21,5,6,7,54,559,1,0
John Warren,39.8,32,1248,39,54,1551,7,3,5,1,6,24,283,0,0
Chuck Ramsey,39.7,34,2751,82,56,3218,17,0,11,5,18,47,367,1,1
Greg Cater,39.7,33.6,2990,89,60,3533,24,9,9,7,22,42,403,0,0
John James,39.7,33.2,2622,80,53,3136,12,6,3,8,15,47,354,0,1
Jeff West,39.5,34.6,2733,79,56,3118,25,9,6,10,18,36,185,0,0
Tom Skladany,39.3,31.5,850,27,51,1062,5,5,0,2,0,20,172,0,0
Tom Orosz,39.3,33.1,2154,66,61,2552,16,8,6,6,7,38,278,0,1
Jeff Hayes,38.8,32.6,2349,72,56,2796,29,4,14,2,11,41,407,1,0
Ray Stachowicz,37.2,32.2,386,14,48,447,0,1,1,0,3,7,61,0,2
Bob Parsons,36.9,32.3,2555,79,54,2916,21,12,14,5,11,37,261,0,0
Jim McMahon,36,36,36,1,36,36,0,1,0,0,0,0,0,0,0
Guido Merkens,36,30.5,122,4,45,144,0,0,0,1,1,2,2,0,0
Jim Miller,35.6,21.2,106,5,43,178,1,2,0,0,0,3,72,1,0
