Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Mike Dennis,54,1,54,0,1,1,54,0,0
Timmy Newsome,28,1,28,0,1,0,28,0,0
Deron Cherry,27,2,54,0,2,0,31,0,0
Vince Heflin,27,1,27,0,1,0,27,0,0
Fulton Walker,26.7,36,962,0,26,4,78,0,1
Wayne Wilson,26.6,9,239,0,8,1,52,0,0
Mike Mosley,26.2,9,236,0,9,0,33,0,1
Steve Brown,25.6,31,795,1,17,3,93,0,2
Ray Horton,25.6,5,128,0,3,1,49,0,1
Mark Clayton,25,1,25,0,1,0,25,0,0
Alvin Garrett,25,2,50,0,2,0,28,0,0
Leo Lewis,25,1,25,0,1,0,25,0,0
Darrin Nelson,24.7,18,445,0,11,3,50,0,0
Kendall Williams,24.5,20,490,0,9,3,90,0,0
Virgil Seay,24.2,9,218,0,4,2,50,0,0
Randy Love,23.7,3,71,0,1,0,23,0,1
David Hughes,23.5,12,282,0,10,0,35,0,0
Stanley Wilson,23,7,161,0,6,0,32,0,0
Michael Morton,23,30,689,0,19,2,50,0,3
Zachary Dixon,23,51,1171,1,29,3,94,0,1
Mike Nelms,22.9,35,802,0,20,2,41,0,0
Bruce Laird,22.8,15,342,0,11,1,41,0,0
Kirk Springs,22.8,16,364,0,9,1,64,0,0
Robert Weathers,22.7,3,68,0,2,0,29,0,0
John Simmons,22.6,14,317,0,9,0,36,0,1
Leon Bright,22.6,21,475,0,15,0,36,0,0
Gary Allen,22.2,8,178,0,6,0,31,0,0
Preston Brown,22.2,29,645,0,20,2,46,0,3
Cleo Montgomery,22.1,21,464,0,15,1,48,0,1
Jarvis Redwine,22,38,838,0,21,1,41,0,0
Rufus Bess,22,2,44,0,1,0,30,0,0
Dave Duerson,22,3,66,0,3,0,24,0,0
LeRoy Irvin,22,1,22,0,1,0,22,0,0
Van Williams,22,25,550,0,12,3,60,0,2
Ricky Smith,21.8,42,916,0,27,1,53,0,4
Kenny Duckett,21.8,33,719,0,17,3,61,0,1
Dwight Walker,21.6,29,627,0,16,0,38,0,0
Stump Mitchell,21.6,36,778,0,21,1,66,0,2
Steve Bird,21.6,9,194,0,5,0,33,0,0
Dino Hall,21.6,11,237,0,8,0,28,0,0
Alvin Hall,21.4,23,492,0,15,0,32,0,0
Willie Gault,21.2,13,276,0,7,0,38,0,0
Glen Young,21,26,547,0,16,1,52,0,0
Dennis McKinnon,21,2,42,0,1,0,25,0,0
Henry Ellard,20.9,15,314,0,7,1,44,0,0
Ken Jenkins,20.9,22,459,0,11,0,30,0,1
Willard Harrell,20.7,3,62,0,2,0,26,0,0
Boyce Green,20.6,17,350,0,9,0,30,0,0
Zach Thomas,20.5,28,573,0,19,1,42,0,1
Kenny Johnson,20.4,11,224,0,6,0,28,0,1
Robb Riddick,20.3,28,568,0,14,2,49,0,3
Steve Wilson,20.2,24,485,0,14,0,32,0,1
Theotis Brown,20.1,15,301,0,9,1,46,0,0
Richard Williams,20,23,461,0,9,0,34,0,0
Alvin Moore,20,2,40,0,1,0,23,0,0
Ron Fellows,19.9,43,855,0,18,3,53,0,4
Earl Ferrell,19.8,13,257,0,5,0,28,0,1
Perry Harrington,19.8,4,79,0,3,0,26,0,0
Ken McAlister,19.7,3,59,0,2,0,22,0,0
Michael Williams,19.7,3,59,0,2,0,25,0,0
Major Everett,19.6,14,275,0,4,1,46,0,0
Johnny Hector,19.6,14,274,0,6,1,45,0,0
Greg Pruitt,19.5,31,604,0,17,1,42,1,1
David Verser,19.5,13,253,0,6,0,29,0,0
Gerald Riggs,19.4,17,330,0,9,0,35,0,3
Henry Odom,19.4,39,756,0,17,0,35,0,3
Clarence Weathers,19.3,3,58,0,2,0,33,0,1
Dana McLemore,19.2,30,576,0,13,0,39,0,0
Mike Martin,19,1,19,0,0,0,19,0,0
Carl Monroe,19,8,152,0,4,0,32,0,0
Davlin Mullen,19,3,57,0,1,0,26,0,1
James Owens,19,20,380,0,12,0,31,0,0
Leonard Smith,19,1,19,0,0,0,19,0,0
James Brooks,19,32,607,0,16,0,34,0,0
Ricky Porter,18.9,18,340,0,8,0,28,0,2
Carl Roaches,18.8,34,641,1,8,1,97,0,1
Barry Redden,18.8,19,358,0,9,1,43,0,1
Dennis Gentry,18.6,7,130,0,3,0,28,0,0
Harlan Huckleby,18.5,41,757,0,18,1,57,0,1
Rich Mauti,18.4,8,147,0,3,0,35,0,0
Earnest Jackson,18.3,11,201,0,4,0,32,0,1
Joe Morris,18.2,14,255,0,5,0,26,0,0
Lynn Cain,18.2,11,200,0,5,0,24,0,1
Vagas Ferguson,18,2,36,0,1,0,27,0,0
Otis Wonsley,18,2,36,0,1,0,20,0,0
Roynell Young,18,1,18,0,0,0,18,0,0
Tim Lewis,17.9,20,358,0,8,0,30,0,3
Danny Pittman,17.8,6,107,0,1,0,24,0,0
Anthony Hancock,17.8,29,515,0,12,0,33,0,1
James Caver,17.8,4,71,0,2,0,33,0,1
Dokie Williams,17.6,5,88,0,0,0,19,0,0
Robbie Martin,17.5,8,140,0,3,1,51,0,0
Rod Hill,17.4,14,243,0,7,1,40,0,0
John Tuggle,17.3,9,156,0,4,0,28,0,0
Larry Anderson,17.2,18,309,0,6,0,26,0,0
Billy Campfield,17.1,9,154,0,2,0,23,0,1
Robert Alexander,17.1,13,222,0,5,0,30,0,2
Bobby Butler,17,1,17,0,0,0,17,0,0
Pete Cronan,17,1,17,0,0,0,17,0,0
Ray Ellis,17,7,119,0,2,0,25,0,0
Michael Haddix,17,3,51,0,1,0,24,0,0
Eddie Lee Ivery,17,1,17,0,0,0,17,0,0
Chuck McSwain,17,1,17,0,0,0,17,0,0
Mike Richardson,17,1,17,0,0,0,17,0,0
Bill Ring,17,4,68,0,0,0,18,0,0
Johnny Ray Smith,17,8,136,0,4,1,43,0,2
Rodney Tate,16.8,13,218,0,4,0,23,0,0
Jeff Moore,16.7,7,117,0,1,1,46,0,0
Johnnie Gray,16.2,11,178,0,5,0,26,0,2
Tim Harris,16.1,18,289,0,6,0,32,0,1
Cliff Austin,16,7,112,0,2,0,27,0,0
Bruce Harper,16,1,16,0,0,0,16,0,0
Dwight Scales,16,1,16,0,0,0,16,0,0
Sherman Smith,16,2,32,0,1,0,21,0,1
Willie Tullis,16,1,16,0,0,0,16,0,0
Joe Washington,16,1,16,0,0,0,16,0,0
Rickey Watts,15.8,5,79,0,2,0,21,0,0
Cedric Jones,15.8,4,63,0,1,0,23,0,0
Mike Jones,15.5,2,31,0,0,0,16,0,0
Mike Miller,15.5,2,31,0,1,0,26,0,0
Miles McPherson,15.4,5,77,0,0,0,19,0,1
Anthony Hutchison,15.2,17,259,0,4,0,28,0,1
Craig Bingham,15,1,15,0,0,0,15,0,0
Stan Brock,15,1,15,0,0,0,15,0,0
Earl Cooper,15,3,45,0,1,0,20,0,0
Mike Guman,15,2,30,0,1,0,21,0,0
Jim Jodat,15,3,45,0,0,0,18,0,0
Dwayne O'Steen,15,2,30,0,0,0,16,0,0
John Sawyer,15,1,15,0,0,0,15,0,0
Jimmy Rogers,14.7,7,103,0,1,0,25,0,0
Eric Lane,14.5,4,58,0,0,0,18,0,0
Scott Nicolas,14.5,2,29,0,0,0,15,0,0
Larry Heater,14.2,5,71,0,2,0,26,0,0
Reggie Evans,14.1,10,141,0,1,0,28,0,0
Brian Baschnagel,14,3,42,0,0,0,19,0,0
Ricky Bell,14,1,14,0,0,0,14,0,0
Roy Green,14,1,14,0,0,0,14,0,0
Dave Huffman,14,3,42,0,0,0,15,0,0
Mike Tice,14,2,28,0,0,0,19,0,0
Andre Young,13.7,3,41,0,0,0,19,0,0
Willie Curran,13,2,26,0,0,0,16,0,1
Ron Springs,13,1,13,0,0,0,13,0,0
Mike Kozlowski,12.5,4,50,0,1,0,23,0,1
Larry Moriarty,12.5,2,25,0,0,0,16,0,0
Herkie Walls,12.2,9,110,0,2,0,25,0,0
Carlos Carson,12,1,12,0,0,0,12,0,0
Mel Carver,12,2,24,0,0,0,13,0,0
Mark Duda,12,1,12,0,0,0,12,0,0
Daryl Hunt,12,1,12,0,0,0,12,0,0
Durwood Roquemore,12,3,36,0,0,0,13,0,0
Danny Spradlin,11.7,3,35,0,1,0,24,0,0
Kurt Allerman,11,1,11,0,0,0,11,0,0
