Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Ali Haji-Sheikh,35,42,83.3,1/1,13/13,11/12,8/11,0/0,0/0,56,0
Mark Moseley,33,47,70.2,1/1,10/10,14/19,7/14,0/0,0/0,51,0
Raul Allegre,30,35,85.7,0/0,5/6,11/12,10/12,0/0,0/0,55,1
Gary Anderson,27,31,87.1,2/2,8/9,9/10,8/10,0/0,0/0,49,2
Eddie Murray,25,32,78.1,0/0,6/6,13/15,3/7,0/0,0/0,54,0
Benny Ricardo,25,33,75.8,0/0,9/10,12/14,4/9,0/0,0/0,44,0
Ray Wersching,25,30,83.3,0/0,11/11,10/10,3/5,0/0,0/0,52,1
Nick Lowery,24,30,80,1/1,5/5,6/6,10/14,0/0,0/0,58,1
Rafael Septien,22,27,81.5,0/0,5/5,8/8,9/12,0/0,0/0,47,0
Chris Bahr,21,27,77.8,0/0,9/11,8/9,4/6,0/0,0/0,47,1
Matt Bahr,21,24,87.5,1/1,9/9,5/6,6/7,0/0,0/0,47,0
Rich Karlis,21,25,84,0/0,7/8,7/9,6/7,0/0,0/0,50,0
Jan Stenerud,21,26,80.8,2/2,6/6,7/9,6/9,0/0,0/0,48,2
Morten Andersen,18,24,75,2/2,8/8,3/4,2/6,0/0,0/0,52,2
Norm Johnson,18,25,72,1/1,4/4,4/7,8/10,0/0,0/0,54,0
Uwe von Schamann,18,27,66.7,2/2,6/6,5/8,3/6,0/0,0/0,52,1
Florian Kempf,17,21,81,1/1,4/4,7/8,4/6,0/0,0/0,51,1
Mick Luckhurst,17,22,77.3,0/0,4/5,4/5,9/11,0/0,0/0,49,0
Jim Breech,16,23,69.6,2/2,7/7,5/7,2/5,0/0,0/0,47,1
Pat Leahy,16,24,66.7,4/4,3/4,5/7,4/8,0/0,0/0,49,2
Rolf Benirschke,15,24,62.5,0/0,7/7,5/7,2/7,0/0,0/0,51,1
Tony Franklin,15,26,57.7,1/1,5/5,6/9,2/8,0/0,0/0,52,1
Neil O'Donoghue,15,28,53.6,0/1,4/6,3/8,6/10,0/0,0/0,52,2
Bob Thomas,14,25,56,1/1,9/9,0/4,3/6,0/0,0/0,50,0
Bill Capece,10,23,43.5,0/0,7/8,0/4,3/8,0/0,0/0,49,1
Joe Danelo,10,20,50,0/0,2/4,5/6,3/6,0/0,0/0,48,1
Fred Steinfort,7,21,33.3,0/0,4/5,3/7,0/9,0/0,0/0,35,2
Mike Lansford,6,9,66.7,0/0,3/3,1/1,2/4,0/0,0/0,49,1
Chuck Nelson,5,11,45.4,0/0,1/3,3/4,1/4,0/0,0/0,41,4
John Smith,3,6,50,0/0,1/1,1/4,1/1,0/0,0/0,43,0
Steve Cox,1,1,100,0/0,0/0,0/0,0/0,0/0,0/0,58,0
David Warnke,0,1,0,0/0,0/1,0/0,0/0,0/0,0/0,0,0
George Yarno,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Joaquin Zendejas,0,1,0,0/0,0/0,0/0,0/1,0/0,0/0,0,0
