Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Jeff Hayes,105,6141,1611,17,16.2,83,19.4,0,1,0,0
Rafael Septien,94,5802,1806,16,17,78,23.2,0,0,0,0
Ray Wersching,91,5546,1669,13,14.3,78,21.4,0,0,0,0
Chris Bahr,88,5427,1218,20,22.7,67,18.2,0,1,0,0
Nick Lowery,85,4923,1528,9,10.6,75,20.4,0,0,0,0
Norm Johnson,84,5008,952,22,26.2,59,16.1,0,0,0,0
Gary Anderson,81,5058,1508,15,18.5,65,23.2,0,0,0,1
Neil O'Donoghue,78,4297,1281,8,10.3,65,19.7,0,2,0,1
Rolf Benirschke,77,4367,1387,5,6.5,68,20.4,0,0,0,0
Uwe von Schamann,77,4747,974,23,29.9,52,18.7,0,1,0,0
Mick Luckhurst,76,4417,1212,13,17.1,60,20.2,0,0,0,0
Jim Breech,74,4361,1298,5,6.8,68,19.1,0,0,0,0
Eddie Murray,74,4252,1061,8,10.8,66,16.1,0,0,0,0
Morten Andersen,73,4717,916,30,41.1,43,21.3,0,0,0,0
Ali Haji-Sheikh,73,4294,1276,5,6.8,66,19.3,0,0,0,0
Rich Karlis,73,4330,824,23,31.5,46,17.9,0,1,0,0
Benny Ricardo,72,3999,1402,0,0,69,20.3,0,0,0,0
Raul Allegre,68,3906,1138,6,8.8,61,18.7,0,0,0,0
Florian Kempf,67,3774,1260,5,7.5,60,21,0,0,0,0
Pat Leahy,67,4094,1018,20,29.8,47,21.7,0,0,0,0
Bob Thomas,64,3566,1107,3,4.7,60,18.4,0,0,0,0
Eddie Garcia,60,2938,912,2,3.3,48,19,0,0,0,0
Joe Danelo,59,3410,859,9,15.2,49,17.5,0,0,0,0
Bill Capece,57,3275,926,10,17.5,44,21,0,1,0,0
Tony Franklin,57,3379,804,10,17.5,45,17.9,0,0,0,0
Chuck Nelson,55,3287,1053,3,5.4,52,20.2,0,0,0,0
Matt Bahr,38,2251,620,4,10.5,34,18.2,0,0,0,0
Steve Cox,38,2013,466,10,26.3,23,20.3,0,1,0,1
Fred Steinfort,36,2134,707,3,8.3,32,22.1,0,0,0,0
Jan Stenerud,26,1568,367,4,15.4,22,16.7,0,0,0,0
John Smith,23,1265,317,2,8.7,19,16.7,0,0,0,0
Mike Lansford,19,981,259,0,0,18,14.4,0,0,0,0
Steve McMichael,6,343,124,0,0,6,20.7,0,0,0,0
Mark Moseley,6,0,0,0,0,0,0,0,0,0,0
Joaquin Zendejas,6,352,151,0,0,6,25.2,0,0,0,0
Mike Black,5,255,85,0,0,5,17,0,0,0,0
Reggie Roby,5,318,50,3,60,2,25,0,0,0,0
David Warnke,4,176,70,0,0,3,23.3,0,0,0,0
Chuck Ramsey,3,147,44,0,0,3,14.7,0,0,0,0
Frank Garcia,2,97,29,0,0,2,14.5,0,0,0,0
Harry Holt,2,118,22,1,50,1,22,0,0,0,0
Carl Birdsong,1,60,19,0,0,1,19,0,0,0,0
Rich Camarillo,1,50,-4,0,0,1,-4,0,0,0,0
Greg Coleman,1,49,0,0,0,1,0,0,0,0,0
Russell Erxleben,1,62,22,0,0,1,22,0,0,0,0
Jeff Gossett,1,51,18,0,0,1,18,0,0,0,0
Ray Guy,1,43,9,0,0,1,9,0,0,0,0
Dave Jennings,1,52,20,0,0,1,20,0,0,0,0
John Misko,1,54,13,0,0,1,13,0,0,0,0
Bucky Scribner,1,0,0,0,0,0,0,0,0,0,0
Jeff West,1,52,0,0,0,0,0,0,0,0,0
