Player,FF,FR,FR TD
Dave Brown,5,2,0
Bob Crable,4,0,0
Tom Jackson,4,2,0
Howie Long,4,2,0
Dave Butz,3,1,0
Nolan Cromwell,3,1,0
Fred Dean,3,0,0
Mike Hartenstine,3,1,1
Wes Hopkins,3,0,0
Daryl Hunt,3,0,0
LeRoy Irvin,3,1,0
Carl Lee,3,0,0
Clay Matthews,3,0,0
Vernon Maxwell,3,2,0
Jim Osborne,3,1,0
Johnny Rembert,3,1,0
Lee Roy Selmon,3,1,0
Keith Willis,3,1,0
Walker Lee Ashley,2,0,0
Roosevelt Barnes,2,1,0
Larry Bethea,2,1,0
Richard Blackmore,2,0,0
Dwaine Board,2,5,1
Kim Bokamper,2,1,0
Greg Bracelin,2,0,0
Scot Brantley,2,0,0
Robert Brazile,2,3,0
Joey Browner,2,2,0
Ross Browner,2,0,0
Bob Brudzinski,2,1,0
Keith Butler,2,0,0
Greg Buttle,2,0,0
Rubin Carter,2,3,0
Robin Cole,2,2,0
Monte Coleman,2,2,0
Anthony Dickerson,2,3,0
Mike Douglass,2,4,2
Tony Elliott,2,0,0
Doug English,2,0,0
Greg Gaines,2,4,0
Russell Gary,2,0,0
Bill Gay,2,1,0
Nesby Glasgow,2,0,0
Randy Gradishar,2,3,0
Darrell Green,2,1,0
Curtis Greer,2,1,0
Tom Hannon,2,2,0
Dee Hardison,2,1,0
Dwight Hicks,2,2,0
John Holt,2,1,0
Charles Jackson,2,4,1
Ken Johnson,2,1,0
Kenny Johnson,2,0,0
Rulon Jones,2,2,0
Chris Keating,2,1,0
Fulton Kuykendall,2,1,0
Jack Lambert,2,2,0
Dexter Manley,2,0,0
Harvey Martin,2,0,0
Eugene Marve,2,0,0
Milt McColl,2,0,0
Derland Moore,2,0,0
Mark Murphy,2,0,0
Joe Nash,2,0,0
Mel Owens,2,2,0
Mike Pitts,2,1,0
Tom Pridemore,2,0,0
Avon Riley,2,3,0
Pete Shaw,2,0,0
Lawrence Taylor,2,2,0
Dennis Thurman,2,1,0
Andre Tippett,2,1,0
Manu Tuiasosopo,2,0,0
Keena Turner,2,1,0
Clayton Weishuhn,2,3,0
Reggie Williams,2,4,1
Ben Williams,2,2,0
Toby Williams,2,0,0
John Woodring,2,4,0
Julius Adams,1,1,0
John Anderson,1,1,0
Harvey Armstrong,1,2,0
Kelvin Atkins,1,0,0
Al Baker,1,2,0
Quinton Ballard,1,0,0
Bill Bates,1,2,0
Bob Baumhower,1,1,0
Todd Bell,1,1,0
Greg Best,1,1,1
Doug Betters,1,4,0
Don Blackmon,1,0,0
Matt Blair,1,2,0
Jerry Blanton,1,0,0
Byron Braggs,1,2,0
Louis Breeden,1,1,0
Jim Britt,1,0,0
Cedric Brown,1,0,0
Mark Brown,1,1,0
Jeff Bryant,1,1,0
Dan Bunz,1,1,0
Lloyd Burruss,1,2,0
Bobby Butler,1,1,0
Harry Carson,1,0,0
Howard Carson,1,0,0
Deron Cherry,1,2,0
Ken Clarke,1,3,0
Harvey Clayton,1,0,0
Garry Cobb,1,2,0
Mike Cofer,1,1,0
Glen Collins,1,1,0
Johnie Cooks,1,1,1
Mark Cotney,1,1,0
Tom Cousineau,1,2,0
George Cumby,1,0,0
Buddy Curry,1,1,0
Charles DeJurnett,1,0,0
Reggie Doss,1,1,0
Dave Duerson,1,0,0
A.J. Duhe,1,1,0
Gary Dunn,1,0,0
John Dutton,1,1,0
Kenny Easley,1,3,0
Ray Ellis,1,1,0
Neil Elshire,1,3,0
Major Everett,1,0,0
Ken Fantetti,1,1,0
Earl Ferrell,1,0,0
Steve Freeman,1,2,0
Keith Gary,1,2,0
Rick Gervais,1,1,0
Nick Giaquinto,1,0,0
Bob Golic,1,0,0
Darryl Grant,1,2,0
Curtis Green,1,0,0
Hugh Green,1,2,0
Jacob Green,1,2,0
Mike Green,1,0,0
Carl Hairston,1,2,0
Willie Harper,1,0,0
Dennis Harrison,1,1,0
Andy Hawkins,1,0,0
Ted Hendricks,1,1,0
Jerry Holmes,1,1,0
Jim Jensen,1,0,0
Mark Jerue,1,0,0
Gary Jeter,1,0,0
Demetrious Johnson,1,1,0
Ezra Johnson,1,2,0
Gary Johnson,1,2,0
Too Tall Jones,1,2,0
William Judson,1,0,0
Mel Kaufman,1,1,1
Mike Kennedy,1,1,0
Jim Kovach,1,0,0
Ken Kremer,1,1,0
Larry Kubin,1,0,0
Eric Lane,1,1,0
Paul Lankford,1,0,0
Bobby Leopold,1,1,0
Dave Lewis,1,1,0
Reggie Lewis,1,0,0
Ronnie Lippett,1,1,0
David Logan,1,1,1
Joey Lumpkin,1,1,0
Marty Lyons,1,0,0
Dino Mangiero,1,1,0
Charles Mann,1,0,0
Brison Manor,1,1,0
Rod Martin,1,0,0
Tony McGee,1,2,0
Dana McLemore,1,0,0
Steve McMichael,1,2,0
Fred McNeill,1,0,0
Jeff Merrow,1,1,0
Rich Milot,1,0,0
Mark Mullaney,1,1,0
Bob Nelson,1,1,0
Steve Nelson,1,1,0
Robert Newhouse,1,0,0
Neal Olkewicz,1,2,0
Steve Parker,1,3,0
Lawrence Pillers,1,0,0
Kevin Potter,1,0,0
Dave Puzzuoli,1,1,0
John Rade,1,2,1
Archie Reese,1,0,0
Booker Reese,1,0,0
Earnest Rhone,1,2,0
Ken Riley,1,1,0
Jerry Robinson,1,2,0
Shelton Robinson,1,4,2
Reggie Roby,1,0,0
Charles Romes,1,0,0
Ben Rudolph,1,0,0
Lucius Sanford,1,1,0
Bruce Scholtz,1,1,0
Jody Schulz,1,0,0
Dave Simmons,1,1,0
Mike Singletary,1,4,0
Lucious Smith,1,1,0
Ricky Smith,1,0,0
Art Still,1,1,0
Jeff Stover,1,1,0
Ivory Sully,1,1,0
Darryl Talley,1,1,0
Gary Thompson,1,0,0
Greg Townsend,1,1,1
Jimmy Turner,1,0,0
Frank Wattelet,1,3,0
Randy White,1,1,0
Michael Williams,1,0,0
Carlton Williamson,1,0,0
Otis Wilson,1,0,0
Leo Wisniewski,1,2,0
Ken Woodard,1,1,0
Dwayne Woodruff,1,0,0
Louis Wright,1,1,0
Jeff Yeates,1,1,0
Andre Young,1,1,0
Robert Abraham,0,0,0
Bill Acker,0,0,0
Rick Ackerman,0,2,0
Willis Adams,0,1,0
Dave Ahrens,0,0,0
Charles Alexander,0,0,0
Robert Alexander,0,0,0
Kurt Allerman,0,0,0
Lyle Alzado,0,1,0
Dick Ambrose,0,1,0
