Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Tommy Vigorito,62,1,62,0,1,1,62,0,0
Vince Heflin,19,1,19,0,0,0,19,0,0
Leo Lewis,17.3,3,52,0,1,0,34,3,0
Gary Allen,17,9,153,1,1,1,68,1,0
Earl Ferrell,17,1,17,0,0,0,17,0,0
Dwight Scales,17,2,34,0,1,0,30,0,0
Alvin Hall,13.6,8,109,0,1,1,66,4,1
Henry Ellard,13.6,16,217,1,2,2,72,4,1
John Harris,13.5,2,27,0,0,0,14,0,0
Rick Upchurch,13,4,52,0,0,0,17,1,0
Kirk Springs,12.5,23,287,1,3,1,76,4,2
Robbie Martin,12.2,15,183,1,1,1,81,3,3
Greg Pruitt,11.5,58,666,1,8,1,97,18,8
Virgil Seay,11.4,5,57,0,1,1,42,1,0
Paul Johns,11.3,28,316,1,1,1,75,5,1
Zach Thomas,11.2,33,368,1,5,1,70,9,2
Ken Schroy,11,1,11,0,0,0,11,0,0
Fulton Walker,10.8,8,86,0,1,0,23,0,0
Dana McLemore,10.7,31,331,1,3,3,56,6,1
Billy Johnson,10.6,46,489,1,5,2,71,4,2
Ricky Smith,10.5,38,398,0,4,2,55,12,7
Glenn Blackwood,10,1,10,0,0,0,10,2,0
Ray Horton,10,1,10,0,0,0,10,1,0
Ken Jenkins,10,23,230,0,2,1,43,1,1
Mike Martin,9.9,23,227,0,0,0,19,3,2
Mark Clayton,9.6,41,392,1,3,1,60,11,2
Dennis McKinnon,9.3,34,316,1,4,1,59,3,2
Rick Woods,9.2,5,46,0,0,0,13,0,0
Mike Harmon,9.1,12,109,0,1,0,21,8,2
Phil Epps,9,36,324,1,3,1,90,13,2
Nesby Glasgow,9,1,9,0,0,0,9,1,0
Stump Mitchell,8.9,38,337,0,3,0,34,1,2
Dwight Walker,8.7,3,26,0,0,0,13,0,1
John Holt,8.6,5,43,0,0,0,17,0,1
LeRoy Irvin,8.5,25,212,0,1,0,20,3,4
Paul Skansi,8.4,43,363,0,3,1,57,9,5
J.T. Smith,8.1,26,210,0,0,0,19,5,0
Pete Shaw,8.1,29,234,0,2,0,27,4,4
Carl Roaches,8,20,159,0,1,0,23,9,2
Johnnie Johnson,7.8,14,109,0,2,0,26,1,1
Rod Hill,7.7,30,232,0,3,0,37,2,2
Andre Tyler,7.7,27,208,0,0,0,16,5,1
James Brooks,7.6,18,137,0,3,0,30,4,3
Mike Nelms,7.6,38,289,0,4,0,35,0,0
Rufus Bess,7.5,21,158,0,0,0,17,10,2
Ron Fellows,7.5,10,75,0,0,0,14,3,0
Ricky Porter,7.4,14,104,0,1,1,50,5,2
Dino Hall,7.3,39,284,0,0,0,19,12,0
Darrell Green,7.2,4,29,0,0,0,18,0,1
Jeff Groth,7,39,275,0,1,0,30,15,3
Elbert Foules,7,1,7,0,0,0,7,0,0
John Simmons,6.9,25,173,0,2,1,43,2,3
Larry Anderson,6.9,20,138,0,1,0,20,4,1
Leon Bright,6.9,17,117,0,1,0,20,0,2
Freddie Solomon,6.8,5,34,0,0,0,11,3,0
Willie Gault,6.7,9,60,0,0,0,12,1,0
Glen Young,6.6,14,93,0,1,0,23,3,2
Davlin Mullen,6.5,2,13,0,0,0,9,3,0
Melvin Hoover,6.3,7,44,0,0,0,13,4,2
Willard Harrell,6.2,5,31,0,0,0,11,1,1
Kenny Easley,6,1,6,0,0,0,6,0,0
Nick Giaquinto,6,2,12,0,0,0,12,4,0
Mike Kozlowski,6,2,12,0,0,0,11,10,1
Anthony Hancock,5.8,14,81,0,0,0,18,9,1
Robb Riddick,5.7,42,241,0,1,0,24,5,4
Gregg Johnson,5.7,3,17,0,0,0,10,1,1
Jeff Fisher,5.5,13,71,0,0,0,11,3,0
Steve Bird,5.4,14,76,0,0,0,16,2,1
John Sciarra,5.2,22,115,0,0,0,14,3,2
Theo Bell,4.8,10,48,0,0,0,11,2,0
Kendall Williams,4.8,9,43,0,0,0,13,4,0
Johnnie Gray,4.5,2,9,0,0,0,5,0,0
Hosea Fortune,4,4,16,0,0,0,9,0,1
Tim Harris,4,3,12,0,0,0,8,0,0
Wes Chandler,3.2,8,26,0,0,0,11,6,1
Beasley Reece,2.9,9,26,0,0,0,7,2,1
Doug Donley,1,1,1,0,0,0,1,0,0
Clarence Weathers,0.2,4,1,0,0,0,3,0,1
Estus Hood,0,1,0,0,0,0,0,0,0
Bill Hurley,0,1,0,0,0,0,0,0,1
Bruce Laird,0,1,0,0,0,0,0,0,1
Keith Lee,0,1,0,0,0,0,0,0,1
Cliff Lewis,0,1,0,0,0,0,0,0,0
Randy Logan,0,1,0,0,0,0,0,0,1
Robert Newhouse,0,1,0,0,0,0,0,0,1
Rick Sanford,0,1,0,0,0,0,0,2,1
Robert Sowell,0,1,0,0,0,0,0,0,0
Van Williams,0,1,0,0,0,0,0,0,0
Louis Wright,0,1,0,0,0,0,0,0,1
Mark Lee,-4,1,-4,0,0,0,-4,0,0
