Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Lynn Dickey,4458,9.2,484,289,59.7,32,29,87.3,200,41.3,73,16,75,40,307
Bill Kenney,4348,7.2,603,346,57.4,24,18,80.8,191,31.7,65,12,53,41,284
Danny White,3980,7.5,533,334,62.7,29,23,85.6,196,36.8,43,11,80,37,314
Joe Montana,3910,7.6,515,332,64.5,26,12,94.6,199,38.6,48,7,77,33,224
Joe Theismann,3714,8.1,459,276,60.1,29,11,97,173,37.7,52,8,84,34,242
Brian Sipe,3566,7.2,496,291,58.7,26,23,79.1,167,33.7,58,6,66,27,233
Richard Todd,3478,6.7,518,308,59.5,18,26,70.3,160,30.9,35,5,64,42,314
Ron Jaworski,3315,7.4,446,235,52.7,20,18,75.1,142,31.8,49,11,83,53,385
Vince Ferragamo,3276,7.1,464,274,59,22,23,75.9,144,31,40,9,61,21,178
Steve Bartkowski,3167,7.3,432,274,63.4,22,5,97.6,163,37.7,40,7,76,51,348
Joe Ferguson,2995,5.9,508,281,55.3,26,25,69.3,153,30.1,34,3,43,27,266
Dan Fouts,2975,8.8,340,215,63.2,20,15,92.5,145,42.6,52,4,59,14,107
Jim Plunkett,2935,7.7,379,230,60.7,20,18,82.7,134,35.4,29,7,99,42,363
Jack Thompson,2906,6.9,423,249,58.9,18,21,73.3,134,31.7,29,8,80,39,289
Steve Dils,2840,6.4,444,239,53.8,11,16,66.8,134,30.2,35,5,68,37,254
Neil Lomax,2636,7.4,354,209,59,24,11,92,114,32.2,41,7,71,43,315
Eric Hipple,2577,6.7,387,204,52.7,12,18,64.7,121,31.3,27,7,80,37,274
Cliff Stoudt,2553,6.7,381,197,51.7,12,21,60.6,130,34.1,37,6,52,51,339
Scott Brunner,2516,6.5,386,190,49.2,9,22,54.3,107,27.7,38,7,62,31,218
Steve Grogan,2411,8,303,168,55.4,15,12,81.4,111,36.6,35,7,76,29,195
Mike Pagel,2353,7.2,328,163,49.7,12,17,64,99,30.2,35,6,72,40,278
Ken Anderson,2333,7.9,297,198,66.7,12,13,85.6,118,39.7,30,5,80,25,187
Dan Marino,2210,7.5,296,173,58.4,20,6,96,105,35.5,24,6,85,10,80
Jim McMahon,2184,7.4,295,175,59.3,12,13,77.6,90,30.5,29,7,87,42,266
