Player,INT,INT TD,INT Yds,Lng
Richard Sherman,8,1,125,58
Brandon Boykin,6,1,136,76
Deandre Levy,6,1,76,66
Antrel Rolle,6,0,23,25
Tramaine Brock,5,1,82,41
Lavonte David,5,0,87,32
Tashaun Gipson,5,1,143,44
Logan Ryan,5,1,82,79
Earl Thomas,5,0,9,11
Alterraun Verner,5,1,68,34
Kiko Alonso,4,0,38,32
Darius Butler,4,1,79,41
Jairus Byrd,4,0,85,57
Karlos Dansby,4,2,48,23
Quintin Demps,4,0,61,35
Corey Graham,4,0,28,28
Brent Grimes,4,1,102,94
Joe Haden,4,1,57,29
DeAngelo Hall,4,2,49,26
Tim Jennings,4,2,111,48
Luke Kuechly,4,0,33,30
Sean Lee,4,1,174,74
Jim Leonhard,4,0,72,41
Keenan Lewis,4,0,34,20
Byron Maxwell,4,0,6,6
Mike Mitchell,4,0,63,38
Dimitri Patterson,4,0,7,3
Eric Reid,4,0,54,53
Sam Shields,4,0,3,7
Aqib Talib,4,0,12,14
Aaron Williams,4,0,43,34
Johnthan Banks,3,0,33,18
Eric Berry,3,2,134,49
Zack Bowman,3,1,67,43
Brandon Carr,3,1,49,49
Nolan Carroll,3,0,24,24
Kam Chancellor,3,0,78,32
Chris Conte,3,0,48,35
Marcus Cooper,3,0,32,20
Antonio Cromartie,3,0,20,20
Louis Delmas,3,0,44,42
Mason Foster,3,2,122,85
Chad Greenway,3,0,23,23
Chris Harris,3,0,1,1
James Ihedigbo,3,0,54,37
Rashad Johnson,3,0,35,18
Trumaine Johnson,3,0,36,29
Adam Jones,3,1,60,60
Johnathan Joseph,3,0,64,32
Mychal Kendricks,3,0,25,18
Dre Kirkpatrick,3,1,21,21
Robert Lester,3,0,5,5
Dee Milliner,3,0,31,19
William Moore,3,0,36,19
Patrick Peterson,3,0,59,43
Bernard Pollard,3,0,36,32
Glover Quin,3,0,57,42
Ed Reed,3,0,49,25
Dominique Rodgers-Cromartie,3,1,75,75
Daryl Smith,3,1,41,37
Keith Tandy,3,0,42,20
Charles Tillman,3,0,69,41
Danny Trevathan,3,0,29,29
Cassius Vaughn,3,0,9,8
Cary Williams,3,0,16,15
Tramon Williams,3,0,10,10
Robert Alford,2,0,0,0
Cortez Allen,2,1,43,40
Will Allen,2,0,40,27
David Amerson,2,1,45,45
Alan Ball,2,0,8,8
Mark Barron,2,0,3,3
Yeremiah Bell,2,0,6,6
Antoine Bethea,2,0,48,46
NaVorro Bowman,2,1,93,89
Antoine Cason,2,1,36,20
Ryan Clark,2,0,50,37
Chris Crocker,2,1,41,32
Thomas Davis,2,0,-2,0
Dannell Ellerbe,2,0,25,16
Bradley Fletcher,2,0,30,25
Drayton Florence,2,1,40,38
Jerrell Freeman,2,0,13,13
Marcus Gilchrist,2,0,43,26
Stephon Gilmore,2,0,0,0
Dwayne Gratz,2,0,20,17
Duron Harmon,2,0,44,42
Geno Hayes,2,0,39,28
Erin Henderson,2,0,19,10
Will Hill,2,1,38,38
Chris Houston,2,0,34,30
Malcolm Jenkins,2,0,35,31
Mike Jenkins,2,0,0,0
Derrick Johnson,2,0,44,41
James Laurinaitis,2,0,9,9
Tyrann Mathieu,2,0,7,7
Trumaine McBride,2,0,17,17
Rodney McLeod Jr.,2,0,2,2
Brandon Meriweather,2,0,62,32
Rahim Moore,2,0,18,18
Captain Munnerlyn,2,2,86,45
