Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Stephen Gostkowski,38,41,92.7,1/1,8/8,13/13,11/13,5/6,0/0,54,0
Justin Tucker,38,41,92.7,0/0,10/10,12/13,10/11,5/6,1/1,61,0
Adam Vinatieri,35,40,87.5,0/0,6/6,10/11,15/17,4/6,0/0,52,1
Nick Novak,34,37,91.9,1/1,9/9,13/16,9/9,2/2,0/0,50,2
Dan Carpenter,33,36,91.7,0/0,13/13,6/6,10/11,4/6,0/0,55,0
Mason Crosby,33,37,89.2,1/1,13/13,8/8,6/8,5/7,0/0,57,0
Nick Folk,33,36,91.7,0/0,8/8,10/11,12/14,3/3,0/0,54,0
Steven Hauschka,33,35,94.3,0/0,10/11,9/9,11/12,3/3,0/0,53,1
Phil Dawson,32,36,88.9,0/0,12/13,6/6,10/11,4/5,0/1,56,0
Jay Feely,30,36,83.3,0/0,9/11,7/8,11/12,3/5,0/0,52,1
Shaun Suisham,30,32,93.8,0/0,9/9,13/15,8/8,0/0,0/0,48,0
Dan Bailey,28,30,93.3,2/2,2/2,8/9,10/10,6/7,0/0,53,0
Randy Bullock,26,35,74.3,1/1,7/7,5/5,12/17,1/5,0/0,51,1
Robbie Gould,26,29,89.7,0/0,11/11,6/7,6/7,3/3,0/1,58,0
Caleb Sturgis,26,34,76.5,1/1,4/4,10/12,8/10,3/7,0/0,54,1
Blair Walsh,26,30,86.7,0/0,7/7,12/12,5/6,2/5,0/0,54,0
Greg Zuerlein,26,28,92.9,0/0,7/7,10/10,8/9,1/2,0/0,54,0
Rob Bironas,25,29,86.2,0/0,10/10,8/9,5/7,2/3,0/0,55,0
Matt Prater,25,26,96.2,2/2,4/4,5/5,8/8,5/6,1/1,64,0
Matt Bryant,24,27,88.9,0/0,9/9,7/8,5/5,3/5,0/0,53,0
Graham Gano,24,27,88.9,0/0,9/9,4/5,5/7,6/6,0/0,55,1
Josh Brown,23,26,88.5,0/0,8/8,7/8,7/8,1/2,0/0,52,0
Alex Henery,23,28,82.1,0/0,8/8,7/8,7/10,1/1,0/1,51,0
Rian Lindell,23,29,79.3,0/0,3/3,12/14,4/6,4/6,0/0,54,0
Josh Scobee,23,25,92,0/0,3/3,12/12,4/5,4/4,0/1,55,1
Garrett Hartley,22,30,73.3,2/2,5/6,5/8,9/13,1/1,0/0,55,1
Ryan Succop,22,28,78.6,0/0,6/6,9/10,6/8,1/4,0/0,51,1
Billy Cundiff,21,26,80.8,0/0,7/7,5/6,7/9,2/4,0/0,51,1
Sebastian Janikowski,21,30,70,0/0,6/6,4/6,8/11,3/7,0/0,53,0
David Akers,19,24,79.2,1/1,5/5,6/8,4/7,3/3,0/0,53,2
Kai Forbath,18,22,81.8,0/0,3/4,10/10,4/6,1/2,0/0,50,2
Mike Nugent,18,22,81.8,0/0,2/2,6/7,7/9,3/4,0/0,54,0
John Potter,3,4,75,0/0,2/2,0/0,1/1,0/1,0/0,43,0
Shayne Graham,2,2,100,0/0,1/1,0/0,1/1,0/0,0/0,40,0
Spencer Lanning,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
