Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Pierre Garcon,113,1346,5,16,2,53,60,53.1,1,667,184
Antonio Brown,110,1499,8,23,6,56,69,62.7,0,652,165
Andre Johnson,109,1407,5,20,3,62,69,63.3,0,412,181
Julian Edelman,105,1056,6,9,2,44,54,51.4,0,493,151
Brandon Marshall,100,1295,12,16,3,44,70,70,0,307,163
A.J. Green,98,1426,11,18,9,82,65,66.3,1,412,180
Kendall Wright,94,1079,2,17,1,45,52,55.3,2,588,140
Dez Bryant,93,1233,13,14,4,79,67,72,3,529,160
Demaryius Thomas,92,1430,14,19,5,78,66,71.7,1,704,143
Alshon Jeffery,89,1421,7,20,7,80,62,69.7,3,432,150
Eric Decker,87,1288,11,19,6,61,63,72.4,2,408,137
Josh Gordon,87,1646,9,30,9,95,64,73.6,0,637,159
Jimmy Graham,86,1215,16,19,5,56,61,70.9,0,440,144
Anquan Boldin,85,1179,7,19,3,63,62,72.9,0,453,130
Harry Douglas,85,1067,2,13,5,80,47,55.3,2,534,133
Jordy Nelson,85,1314,8,22,3,76,60,70.6,0,442,126
Calvin Johnson,84,1492,12,22,5,87,69,82.1,1,496,156
Tony Gonzalez,83,859,8,5,0,25,56,67.5,0,229,119
Larry Fitzgerald,82,954,10,11,3,75,49,59.8,1,351,136
T.Y. Hilton,82,1083,5,13,6,73,46,56.1,0,400,138
DeSean Jackson,82,1332,9,25,8,61,60,73.2,1,493,126
Jordan Cameron,80,917,7,11,1,53,47,58.8,1,248,117
Vincent Jackson,78,1224,7,19,5,60,60,76.9,1,328,159
Antonio Gates,77,872,4,11,1,56,49,63.6,2,410,116
Pierre Thomas,77,513,3,5,0,29,21,27.3,1,667,84
Brian Hartline,76,1016,4,14,1,50,53,69.7,0,316,134
Danny Woodhead,76,605,6,4,0,39,30,39.5,1,494,87
Marques Colston,75,943,5,13,0,35,54,72,0,249,110
Matt Forte,74,594,3,5,0,34,23,31.1,0,552,94
Victor Cruz,73,998,4,10,3,70,45,61.6,1,264,123
Greg Olsen,73,816,6,12,0,31,44,60.3,0,347,109
Mike Wallace,73,930,5,11,5,57,46,63,0,291,142
Wes Welker,73,778,10,12,0,33,49,67.1,0,333,110
Jason Witten,73,851,8,13,0,34,44,60.3,0,337,111
Keenan Allen,71,1046,8,16,1,43,54,76.1,1,438,105
Darren Sproles,71,604,2,7,1,48,24,33.8,0,551,89
Jamaal Charles,70,693,7,8,2,71,32,45.7,0,669,104
Charles Clay,69,759,6,10,3,67,36,52.2,0,380,103
Greg Jennings,68,804,4,11,2,70,36,52.9,0,357,106
Emmanuel Sanders,67,740,6,12,3,55,37,55.2,1,317,112
Cecil Shorts,66,777,3,10,1,59,41,62.1,0,292,125
Martellus Bennett,65,759,5,11,1,43,40,61.5,1,400,96
Michael Floyd,65,1041,5,17,3,91,48,73.8,0,289,112
Torrey Smith,65,1128,4,20,8,74,48,73.8,1,402,139
Julius Thomas,65,788,12,10,2,74,41,63.1,0,390,89
Steve Smith,64,745,4,4,2,44,44,68.8,0,190,109
Golden Tate,64,898,5,12,3,80,41,64.1,1,520,98
Roddy White,63,711,3,8,0,39,37,58.7,2,128,99
Knowshon Moreno,60,548,3,5,0,35,29,48.3,0,488,74
Rod Streater,60,888,4,10,3,66,39,65,1,335,100
Delanie Walker,60,571,6,5,0,33,30,50,1,185,86
James Jones,59,817,3,12,4,83,30,50.8,2,384,93
Heath Miller,58,593,1,8,0,31,30,51.7,1,258,78
Ray Rice,58,321,0,1,0,22,13,22.4,0,375,73
Nate Washington,58,919,3,11,3,77,43,74.1,0,240,104
Dwayne Bowe,57,673,5,9,0,34,39,68.4,0,202,105
Giovani Bernard,56,514,3,9,1,41,21,37.5,0,538,71
Hakeem Nicks,56,896,0,14,4,57,38,67.9,0,281,102
Danny Amendola,54,633,2,8,1,57,37,68.5,0,269,83
Reggie Bush,54,506,3,4,1,77,22,40.7,0,478,80
