Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Saints,569,2190,3.8,20,10,0,38,128,22.5,14
Bengals,538,2164,4,13,4,2,52,131,24.4,15
49ers,524,2237,4.3,11,8,0,35T,134,25.6,15
Steelers,517,2144,4.2,11,12,2,51,116,22.4,17
Patriots,513,1771,3.4,12,5,3,49T,84,16.4,22
Rams,512,2097,4.1,15,8,3,58T,118,23,13
Broncos,510,1970,3.9,18,5,0,29,133,26.1,12
Eagles,509,2027,4,12,14,1,45,113,22.2,21
Redskins,500,2102,4.2,18,9,0,31,120,24,13
Colts,497,2143,4.3,14,6,1,53,125,25.2,17
Seahawks,496,2023,4.1,13,6,2,57T,120,24.2,13
Oilers,486,1923,4,12,6,1,41,117,24.1,16
Bears,485,1954,4,13,6,0,38T,122,25.2,14
Vikings,482,1983,4.1,20,8,2,72T,130,27,9
Browns,475,1745,3.7,16,5,0,35T,109,23,19
Raiders,475,2197,4.6,13,13,3,91T,108,22.7,12
Bills,465,1840,4,9,6,0,30,110,23.7,20
Cowboys,465,1865,4,17,10,3,62,92,19.8,13
Packers,465,1801,3.9,13,10,2,61T,96,20.6,10
Cardinals,462,1873,4,15,6,1,42T,115,24.9,10
Jets,458,1671,3.6,17,5,0,32,97,21.2,15
Giants,440,1457,3.3,4,5,0,34,80,18.2,13
Chiefs,419,1799,4.3,7,7,2,64,99,23.6,23
Dolphins,408,1662,4.1,16,6,1,51T,110,27,15
Lions,398,1435,3.6,9,3,0,33,81,20.4,19
Chargers,396,1308,3.3,11,3,0,25T,68,17.2,15
Buccaneers,394,1365,3.5,7,6,1,46,61,15.5,16
Falcons,333,1298,3.9,5,4,1,44,72,21.6,11
