Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Dolphins,584,338,57.9,6.8,3977,29,20,81,197,33.7,59,6,59T,13,101
Broncos,530,285,53.8,7.3,3874,24,19,77.5,173,32.6,62,10,72T,30,220
Cardinals,529,305,57.7,7.3,3850,25,15,84.4,189,35.7,48,6,57T,54,397
Eagles,520,283,54.4,6.8,3561,26,16,79.8,153,29.4,52,13,70,72,511
Jets,517,302,58.4,6.6,3402,18,15,77.7,168,32.5,35,8,59,66,443
Buccaneers,517,264,51.1,6.5,3377,22,17,72.3,167,32.3,53,5,64,43,361
Bills,516,292,56.6,6.3,3246,21,19,73.7,153,29.6,37,3,47,37,345
Chargers,516,303,58.7,7,3602,13,23,69.9,176,34.1,42,5,67,39,322
Lions,509,275,54,6.2,3150,16,26,62.1,156,30.6,31,5,53T,26,194
Falcons,501,247,49.3,6.2,3108,17,32,53.7,139,27.7,46,4,57T,46,340
49ers,501,322,64.3,7.9,3955,44,14,106.2,202,40.3,53,9,57,29,205
Cowboys,500,288,57.6,7.2,3594,19,20,76,176,35.2,56,3,77T,52,403
Giants,499,265,53.1,7.3,3645,26,22,75.8,168,33.7,57,6,63,61,443
Bears,493,272,55.2,6.9,3420,23,24,72.2,157,31.8,50,7,59,48,330
Browns,482,291,60.4,7.5,3625,27,12,92,172,35.7,51,5,54T,29,170
Oilers,482,240,49.8,7.3,3534,24,23,70.8,152,31.5,65,12,83T,30,234
Redskins,478,247,51.7,7.8,3718,27,18,80.7,153,32,57,20,88,27,223
Bengals,475,255,53.7,7.3,3468,17,20,71.6,158,33.3,57,12,61T,32,255
Raiders,457,247,54,7.5,3429,19,18,75.8,157,34.4,57,8,49T,53,359
Packers,455,234,51.4,6.5,2977,15,17,67.6,134,29.4,40,8,70,45,296
Colts,447,255,57,6.8,3042,16,16,75,137,30.6,34,7,72T,24,190
Vikings,446,232,52,7.1,3185,21,23,69.4,136,30.5,45,11,73,52,359
Patriots,440,236,53.6,6.7,2929,22,18,74.1,158,35.9,42,3,45T,33,246
Chiefs,432,236,54.6,6.9,2985,17,17,73.1,141,32.6,33,7,81T,48,366
Steelers,429,198,46.2,5.7,2464,13,25,50.3,125,29.1,33,7,63,27,198
Rams,420,220,52.4,6.6,2750,16,18,67.9,136,32.4,37,6,81,25,196
Saints,411,227,55.2,7.3,2987,23,12,84.9,150,36.5,40,4,82,29,213
Seahawks,405,237,58.5,7.5,3028,31,21,85.9,155,38.3,43,5,75T,36,316
