Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Chiefs,30,42,71.4,6_6,9_8,10_9,11_6,0_0,0_0,55,2
Vikings,30,46,65.2,8_8,14_11,4_4,16_7,0_0,0_0,47,0
Rams,29,45,64.4,11_10,14_11,11_5,9_3,0_0,0_0,46,1
Bengals,25,37,67.6,4_4,7_5,11_9,9_3,0_0,0_0,53,2
Giants,25,41,61,5_5,14_11,3_1,15_7,0_0,0_0,54,1
Dolphins,22,30,73.3,4_4,4_2,6_5,15_11,0_0,0_0,47,0
49ers,21,31,67.7,6_5,7_7,5_2,10_7,0_0,0_0,48,3
Bears,20,34,58.8,4_4,6_5,12_9,9_1,0_0,0_0,50,1
Lions,20,29,69,8_8,3_2,5_3,7_4,0_0,0_0,51,2
Cardinals,20,32,62.5,4_4,6_3,7_7,11_6,0_0,0_0,49,1
Redskins,20,27,74.1,6_6,5_5,7_5,9_4,0_0,0_0,49,1
Colts,19,34,55.9,4_3,9_6,9_4,10_6,0_0,0_0,48,3
Jets,19,35,54.3,2_2,9_8,11_7,10_2,0_0,0_0,42,1
Cowboys,18,27,66.7,7_7,6_3,9_6,5_2,0_0,0_0,43,1
Broncos,18,32,56.2,3_2,6_3,7_5,10_6,0_0,0_0,53,3
Oilers,18,32,56.2,5_5,5_4,8_6,14_3,0_0,0_0,48,3
Saints,18,34,52.9,5_4,8_6,5_1,7_4,0_0,0_0,63,6
Raiders,16,29,55.2,7_6,6_4,5_3,10_2,0_0,0_0,52,3
Packers,15,28,53.6,6_5,11_6,7_3,4_1,0_0,0_0,49,5
Eagles,14,25,56,8_6,6_4,6_2,4_2,0_0,0_0,42,3
Browns,12,22,54.6,4_3,3_2,7_4,7_3,0_0,0_0,47,1
Chargers,12,19,63.2,3_3,3_1,5_5,8_3,0_0,0_0,48,1
Bills,10,19,52.6,3_3,4_3,3_2,4_1,0_0,0_0,52,1
Steelers,10,28,35.7,4_4,8_3,1_0,11_3,0_0,0_0,49,1
Falcons,9,25,36,5_4,2_0,7_4,9_1,0_0,0_0,49,5
Patriots,8,22,36.4,4_3,4_3,4_1,8_1,0_0,0_0,41,4
