Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Chiefs,12,31,371,0,0,0,60,28,0
49ers,11.5,48,550,0,0,0,76,12,0
Falcons,10.5,34,356,2,0,0,77,13,0
Dolphins,9.8,30,295,1,0,0,77T,15,0
Colts,9.8,36,351,1,0,0,80T,26,0
Patriots,9.5,32,305,0,0,0,62,9,0
Lions,9,34,306,1,0,0,65,14,0
Bengals,8.8,37,327,1,0,0,79T,28,0
Broncos,8.8,63,556,0,0,0,45,13,0
Raiders,8.3,37,308,1,0,0,63T,21,0
Cardinals,7.7,41,315,1,0,0,74T,24,0
Cowboys,7.4,32,237,0,0,0,34,17,0
Saints,7.4,29,214,0,0,0,41,13,0
Browns,6.9,34,236,0,0,0,38,16,0
Rams,6.7,62,418,0,0,0,49,17,0
Giants,6.7,29,193,1,0,0,45T,23,0
Bills,6.6,45,298,0,0,0,54,9,0
Oilers,6.3,41,257,0,0,0,33,16,0
Vikings,6.2,35,216,0,0,0,53,15,0
Jets,5.8,26,150,0,0,0,21,20,0
Chargers,5.6,31,173,0,0,0,17,15,0
Steelers,5.5,51,281,0,0,0,52,19,0
Bears,4.3,57,246,0,0,0,15,5,0
Packers,3.9,25,98,0,0,0,12,20,0
Eagles,3.1,32,100,0,0,0,16,10,0
Redskins,1.7,27,45,0,0,0,9,15,0
