Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Cardinals,43,95.6,20,100,0,0
Giants,35,83.3,43,100,1,1
Ravens,30,85.7,23,100,0,0
Bills,29,82.9,26,100,1,0
Bengals,28,87.5,47,100,0,0
Browns,27,93.1,19,90.5,1,1
Chiefs,27,81.8,44,97.8,1,0
Rams,27,87.1,36,100,1,0
Panthers,26,76.5,43,97.7,0,0
Texans,26,76.5,24,100,2,0
49ers,26,89.7,21,100,0,1
Dolphins,25,83.3,33,100,0,0
Vikings,25,73.5,31,100,1,1
Saints,25,78.1,22,100,0,0
Falcons,24,88.9,35,100,0,0
Broncos,24,75,43,97.7,0,0
Steelers,24,82.8,45,100,0,2
Titans,23,79.3,30,93.8,0,1
Colts,23,88.5,52,100,0,0
Jaguars,23,76.7,38,97.4,1,0
Bears,22,71,26,96.3,0,1
Jets,22,78.6,24,100,1,0
Eagles,22,75.9,32,97,0,0
Buccaneers,22,81.5,32,100,0,0
Chargers,21,87.5,49,100,0,0
Cowboys,20,71.4,35,97.2,0,0
Packers,20,74.1,30,96.8,0,1
Raiders,20,66.7,30,100,0,0
Patriots,20,80,41,97.6,0,0
Lions,19,79.2,27,96.4,0,0
Seahawks,18,72,56,98.2,0,0
Redskins,17,81,42,100,2,0
