Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Ravens,11,39,431,0,6,2,51T,13,0
Panthers,10.8,41,444,0,4,2,76,11,1
Steelers,10.2,46,470,2,4,3,81,13,2
Browns,10.1,37,373,1,4,1,62,13,0
Bills,10,28,279,0,3,1,43,17,3
Buccaneers,9.6,51,492,0,5,0,31,18,1
Titans,9.3,45,418,1,7,1,52T,13,3
Giants,9.2,49,453,1,3,3,58T,16,2
Bears,9.1,46,417,1,4,2,73T,13,11
Dolphins,9.1,43,390,0,4,1,47,23,5
Broncos,8.5,33,281,0,4,1,52,17,4
Packers,8.5,45,381,1,3,1,85T,18,0
Eagles,8.4,53,448,0,6,1,44,24,6
Falcons,8.4,31,261,0,4,0,29,23,5
Vikings,8.4,41,344,1,2,1,71,14,3
Patriots,7.8,40,314,0,4,0,29,18,1
Jaguars,7.8,53,415,0,3,0,24,15,4
Cardinals,7.7,50,383,0,2,0,32,16,1
Lions,7.6,36,274,0,3,1,49,13,2
Colts,7.6,24,182,0,2,0,29,25,2
49ers,7.6,28,212,1,1,1,75T,12,4
Texans,7.4,30,223,0,4,0,37,7,5
Saints,7,46,320,0,3,1,42T,5,2
Chiefs,6.8,43,293,0,2,2,52,7,1
Jets,6.4,34,219,0,0,0,18,12,3
Cowboys,6.3,45,284,0,3,0,26,21,5
Chargers,6.3,39,245,0,1,0,23,17,3
Redskins,6,30,180,0,0,0,18,28,3
Rams,5.8,30,175,0,0,0,17,23,1
Seahawks,5.7,31,177,0,1,0,24,23,2
Bengals,5.6,28,157,0,0,0,13,14,0
Raiders,5.6,37,206,0,3,0,34,7,5
