Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Bills,39.1,2777,71,45.7,68,3242,22,4,6,9,10,42,285,0,0
Dolphins,39,3468,89,43.1,63,3835,31,4,18,7,14,46,227,0,0
Patriots,38.8,2946,76,45.1,59,3431,22,6,10,4,14,42,405,0,1
Saints,38.7,2746,71,43.2,69,3066,28,1,8,3,26,33,260,0,0
Panthers,38.6,2819,73,43.2,59,3154,23,4,8,5,20,36,235,0,0
Broncos,38.5,2771,72,43.8,66,3157,24,3,12,6,15,36,266,0,1
Chargers,38,2700,71,43.7,71,3104,25,2,16,8,19,26,244,0,0
Raiders,37.8,3104,82,45.7,64,3744,26,5,13,9,16,39,460,0,0
Titans,37.8,2947,78,43.2,59,3371,21,3,9,14,20,32,144,0,0
Jets,37.7,2826,75,43.4,59,3251,19,5,13,6,15,36,305,0,0
Cardinals,37.5,2738,73,43.9,60,3206,18,5,8,7,14,39,328,1,1
Buccaneers,37.5,3375,90,45.6,61,4101,24,2,10,13,16,49,466,0,0
Eagles,37.4,3702,99,41.1,59,4072,25,6,15,3,18,57,310,0,1
Jaguars,37.3,3061,82,42.9,74,3517,33,15,12,11,15,29,236,1,1
Colts,37.1,1929,52,44.2,58,2301,23,1,6,5,15,25,272,0,0
Giants,37,2701,73,42,56,3070,26,11,8,3,15,36,309,1,0
Falcons,37,2882,78,42.3,67,3300,23,12,8,9,14,35,238,0,0
Cowboys,36.9,3024,82,42.4,63,3474,28,3,18,10,18,33,250,0,0
Lions,36.9,3096,84,43.5,60,3656,34,4,11,2,17,50,520,2,0
49ers,36.6,3916,107,41.6,58,4447,15,8,14,3,20,62,471,0,1
Redskins,36.5,3174,87,40.3,57,3503,25,3,19,7,18,40,189,0,0
Bengals,36.2,2171,60,43.2,75,2591,13,8,5,8,7,32,260,0,1
Ravens,36,3064,85,43.4,60,3685,12,3,8,7,12,55,481,1,1
Texans,35.7,2751,77,38.8,61,2990,29,4,12,1,27,33,219,1,0
Vikings,35.7,2890,81,43.3,62,3505,19,4,9,6,17,45,495,0,0
Bears,35.4,3433,97,40.9,63,3965,24,12,22,11,13,39,312,1,1
Chiefs,35.2,2285,65,39.4,62,2564,27,7,9,5,21,23,179,0,0
Seahawks,34.7,2779,80,41,62,3282,25,3,12,8,16,41,343,0,0
Steelers,34.5,2379,69,41.7,65,2875,23,5,7,8,12,37,336,0,0
Rams,34,2478,73,41.2,63,3008,16,9,5,6,14,39,410,1,0
Browns,33.8,2707,80,40.4,61,3234,24,10,16,9,9,36,347,0,0
Packers,33.5,2347,70,38.9,53,2726,11,3,4,2,12,49,339,0,0
