Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Bills,26.6,75,1992,1,52,11,99T,0,1
Texans,25.9,84,2173,2,55,8,99T,0,3
Jets,24.3,71,1728,1,52,5,95,1,4
Giants,24.3,63,1529,1,45,4,95T,0,1
Titans,24.2,70,1697,0,48,6,85,0,3
Chargers,24.2,69,1667,0,46,7,60,0,2
Jaguars,23.9,50,1197,1,31,3,91T,0,1
Cowboys,23.8,64,1523,0,46,4,49,0,2
Bengals,23.6,67,1580,0,39,3,94,0,1
Chiefs,23.4,68,1591,1,40,6,96T,0,4
Redskins,23.2,62,1438,2,37,3,94,0,2
Raiders,22.9,80,1832,0,55,2,62,0,1
Cardinals,22.6,76,1719,0,48,4,90,0,1
Eagles,22.2,71,1578,0,46,2,53,0,1
Patriots,22.2,70,1555,0,42,2,65T,0,1
Browns,22.2,68,1506,1,34,5,90T,0,4
Seahawks,22.1,61,1347,0,38,2,53,1,2
Dolphins,22.1,68,1501,0,45,4,46,0,0
Vikings,21.8,71,1549,1,36,7,86T,0,2
Lions,21.6,73,1576,0,33,5,73,0,1
Steelers,21.6,56,1208,0,22,4,74,0,2
Ravens,21.5,60,1289,0,33,3,87,2,1
Rams,21.4,74,1580,1,34,2,99T,0,3
Falcons,21.2,70,1482,0,43,1,47,0,0
Broncos,20.7,47,975,0,31,0,36,1,1
Panthers,20.4,53,1083,0,25,2,60,0,3
Saints,20.2,75,1516,0,44,2,46,0,3
Colts,19.9,51,1017,0,25,0,39,0,3
Bears,19.8,55,1092,0,26,1,40,0,1
Buccaneers,19.5,59,1148,0,35,0,37,0,1
49ers,19,81,1540,0,38,1,40,0,1
Packers,18.9,75,1418,0,34,1,57,0,4
