Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Cardinals,43,45,95.6,1_1,11_11,12_12,14_13,0_0,0_0,54,0
Giants,35,42,83.3,0_0,13_11,14_13,10_8,0_0,0_0,52,1
Ravens,30,35,85.7,1_1,8_8,11_10,14_11,0_0,0_0,49,0
Bills,29,35,82.9,0_0,9_8,13_11,10_7,0_0,0_0,53,0
Bengals,28,32,87.5,0_0,11_11,11_10,9_7,0_0,0_0,49,0
Browns,27,29,93.1,2_2,11_11,11_9,5_5,0_0,0_0,44,0
Chiefs,27,33,81.8,1_1,8_8,13_12,8_4,0_0,0_0,52,1
Rams,27,31,87.1,0_0,7_6,8_8,11_9,0_0,0_0,53,0
Panthers,26,34,76.5,1_1,8_8,8_8,9_6,0_0,0_0,52,1
Texans,26,34,76.5,0_0,9_9,17_12,6_4,0_0,0_0,53,1
49ers,26,29,89.7,0_0,4_4,12_10,10_10,0_0,0_0,56,0
Dolphins,25,30,83.3,0_0,10_9,12_9,6_6,0_0,0_0,53,0
Vikings,25,34,73.5,0_0,11_11,8_3,10_8,0_0,0_0,56,3
Saints,25,32,78.1,1_1,13_12,6_4,12_8,0_0,0_0,49,2
Falcons,24,27,88.9,0_0,10_9,11_11,4_3,0_0,0_0,58,1
Broncos,24,32,75,0_0,10_9,5_5,13_9,0_0,0_0,51,1
Steelers,24,29,82.8,0_0,9_9,9_9,9_6,0_0,0_0,44,2
Titans,23,29,79.3,0_0,10_10,7_6,7_5,0_0,0_0,53,0
Colts,23,26,88.5,1_1,9_9,7_6,8_7,0_0,0_0,48,1
Jaguars,23,30,76.7,0_0,9_9,8_7,10_5,0_0,0_0,53,0
Bears,22,31,71,0_0,9_9,12_9,10_4,0_0,0_0,48,0
Jets,22,28,78.6,0_0,9_8,7_7,10_7,0_0,0_0,49,1
Eagles,22,29,75.9,0_0,6_6,9_8,12_7,0_0,0_0,50,1
Buccaneers,22,27,81.5,0_0,5_3,8_8,12_10,0_0,0_0,50,1
Chargers,21,24,87.5,1_1,3_3,9_9,11_8,0_0,0_0,49,1
Cowboys,20,28,71.4,1_1,10_9,9_6,7_3,0_0,0_0,56,2
Packers,20,27,74.1,0_0,7_7,10_6,5_3,0_0,0_0,53,1
Raiders,20,30,66.7,1_1,8_7,6_5,12_7,0_0,0_0,49,1
Patriots,20,25,80,0_0,7_7,10_9,6_4,0_0,0_0,49,0
Lions,19,24,79.2,1_1,9_9,3_3,7_4,0_0,0_0,52,1
Seahawks,18,25,72,0_0,5_5,5_4,7_4,0_0,0_0,55,1
Redskins,17,21,81,1_1,4_4,8_6,7_6,0_0,0_0,45,2
