Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Broncos,461,5572,12.1,55,68,13,78,293,63.6,4
Saints,446,5162,11.6,39,67,15,76,244,54.7,1
Falcons,445,4541,10.2,26,44,9,81,227,51,8
Patriots,380,4343,11.4,25,49,8,81,225,59.2,2
Browns,379,4372,11.5,26,52,14,95,200,52.8,2
Chargers,378,4478,11.8,32,60,6,60,230,60.8,4
Steelers,377,4306,11.4,28,62,10,56,207,54.9,3
Cowboys,375,4226,11.3,33,48,7,82,213,56.8,8
Bears,373,4450,11.9,32,53,11,80,215,57.6,5
Lions,371,4650,12.5,29,62,10,87T,221,59.6,4
Texans,371,4183,11.3,19,53,9,66,198,53.4,5
Packers,366,4538,12.4,25,65,11,83,201,54.9,3
Bengals,364,4318,11.9,33,57,15,82T,205,56.3,6
Ravens,363,3914,10.8,19,45,14,74,189,52.1,1
Cardinals,363,4291,11.8,24,49,9,91,205,56.5,3
Dolphins,357,3966,11.1,24,47,11,67T,205,57.4,0
Redskins,355,4057,11.4,20,39,6,62,198,55.8,5
Colts,350,3952,11.3,23,45,10,73,191,54.6,2
Jaguars,349,3751,10.8,16,44,6,67,176,50.4,6
Chiefs,333,3561,10.7,24,45,7,71,179,53.8,5
Titans,328,3710,11.3,22,48,10,77,172,52.4,4
Vikings,325,3645,11.2,18,54,7,79,173,53.2,3
Giants,325,3875,11.9,18,54,7,70,176,54.2,4
Eagles,310,4406,14.2,32,80,18,70,197,63.6,3
Rams,301,3360,11.2,22,41,5,81,165,54.8,3
Bills,299,3373,11.3,16,46,9,59,149,49.8,5
Raiders,298,3629,12.2,17,48,8,73,168,56.4,2
Panthers,292,3379,11.6,24,33,7,79,169,57.9,3
Buccaneers,291,3181,10.9,22,39,7,85,157,54,1
Seahawks,267,3508,13.1,27,52,10,80,160,59.9,4
Jets,266,3270,12.3,13,47,6,69,154,57.9,1
Niners,244,3210,13.2,21,46,10,64T,148,60.7,3
