Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
John Hadl,3075,7.1,431,233,54.1,21,25,68.9,107,24.8,0,0,77,16,145
John Brodie,2642,6.8,387,208,53.8,18,24,65,112,28.9,0,0,71,11,111
Fran Tarkenton,2567,6.6,386,226,58.6,11,21,65.4,86,22.3,0,0,81,27,232
Len Dawson,2504,8.3,301,167,55.5,15,13,81.6,96,31.9,0,0,82,30,303
Bill Nelsen,2319,7.1,325,174,53.5,13,23,60.3,91,28,0,0,53,22,222
Terry Bradshaw,2259,6.1,373,203,54.4,13,22,59.7,89,23.9,0,0,49,33,287
Roman Gabriel,2238,6.4,352,180,51.1,17,10,75.4,101,28.7,0,0,68,25,200
Greg Landry,2237,8.6,261,136,52.1,16,13,80.9,74,28.4,0,0,76,29,232
Billy Kilmer,2221,7.3,306,166,54.2,13,13,74,84,27.4,0,0,71,16,110
Jim Plunkett,2158,6.6,328,158,48.2,19,16,68.6,93,28.4,0,0,88,36,319
Bob Griese,2089,7.9,263,145,55.1,19,9,91,57,21.7,0,0,86,23,248
Bob Berry,2005,8.9,226,136,60.2,11,16,75.9,75,33.2,0,0,84,21,150
Pete Liske,1957,7.3,269,143,53.2,11,15,67.1,52,19.3,0,0,69,13,134
Roger Staubach,1882,8.9,211,126,59.7,15,4,104.8,44,20.8,0,0,85,23,175
Dennis Shaw,1813,6.2,291,149,51.2,11,26,46.1,54,18.6,0,0,75,33,276
Daryle Lamonica,1717,7.1,242,118,48.8,16,16,66.8,36,14.9,0,0,67,18,172
Dan Pastorini,1702,6.3,270,127,47,7,21,43.8,47,17.4,0,0,62,20,152
Jim Hart,1626,6.7,243,110,45.3,8,14,54.7,43,17.7,0,0,57,13,139
Virgil Carter,1624,7.3,222,138,62.2,10,7,86.2,29,13.1,0,0,90,13,122
Scott Hunter,1210,7.4,163,75,46,7,17,46.1,26,16,0,0,77,11,81
Earl Morrall,1210,7.2,167,84,50.3,7,12,58.2,12,7.2,0,0,64,11,89
Edd Hargett,1191,5.7,210,96,45.7,6,5,63.4,29,13.8,0,0,49,10,68
Bobby Douglass,1164,5.2,225,91,40.4,5,15,37,29,12.9,0,0,64,30,235
Archie Manning,1164,6.6,177,86,48.6,6,9,60.1,30,17,0,0,63,40,332
