Player,INT,INT TD,INT Yds,Lng
Bill Bradley,11,0,248,51
Ken Houston,9,4,220,48
Mike Bass,8,1,78,38
Charlie Stukes,8,0,95,40
Emmitt Thomas,8,1,145,36
Lemar Parrish,7,1,105,65
Jake Scott,7,0,34,21
Charlie West,7,0,236,89
Herb Adderley,6,0,182,46
Al Beauchamp,6,1,53,18
Ken Ellis,6,0,10,5
Gene Howard,6,0,99,35
Leroy Keyes,6,0,31,17
Paul Krause,6,0,112,31
Dick LeBeau,6,0,76,40
Ken Reaves,6,0,43,31
Bryant Salter,6,0,48,44
Ed Sharockman,6,0,109,33
Larry Carwell,5,1,72,53
John Charles,5,0,94,51
Charlie Ford,5,0,46,24
Ted Hendricks,5,0,70,40
Hugo Hollas,5,0,56,25
Delles Howell,5,0,120,60
Chuck Howley,5,0,122,53
Mike Lucci,5,2,74,27
Jim Nettles,5,1,97,44
Jack Pardee,5,1,58,20
Richie Petitbon,5,0,102,42
Ken Riley,5,0,22,21
Walt Sumner,5,0,35,25
Bill Thompson,5,0,83,42
Willie Williams,5,0,58,24
Nemiah Wilson,5,0,70,22
Willie Alexander,4,0,74,36
George Atkinson,4,0,70,41
Joe Beauchamp,4,0,95,52
Dick Butkus,4,0,9,9
Sandy Durko,4,0,46,25
Tim Foley,4,0,14,18
W.K. Hicks,4,0,46,26
Bob Howard,4,0,47,29
Robert James,4,0,25,25
Steve Kiner,4,0,25,14
Jerry Logan,4,0,28,23
Marlin McKeever,4,0,38,15
Wayne Rasmussen,4,0,31,19
Mel Renfro,4,0,11,7
Isiah Robertson,4,0,32,20
Johnny Robinson,4,0,53,29
John Rowser,4,1,94,70
Clarence Scott,4,0,47,21
Jack Tatum,4,0,136,66
Norm Thompson,4,0,45,25
Rick Volk,4,0,36,21
Larry Wilson,4,0,46,23
Doug Wyatt,4,1,84,55
Kermit Alexander,3,1,122,82
Chuck Allen,3,0,45,29
Billy Andrews,3,0,34,19
Lem Barney,3,1,78,28
Greg Brezina,3,0,22,11
Ray Brown,3,0,32,23
Bobby Bryant,3,0,51,19
Dan Conners,3,0,36,18
Mike Curtis,3,0,44,31
Pat Fischer,3,1,103,53
Chris Fletcher,3,1,63,36
Fred Forsberg,3,1,75,40
Charlie Greer,3,0,32,30
Don Hansen,3,1,56,40
Tom Hayes,3,0,27,27
Jimmy Johnson,3,0,16,10
Jim Kearney,3,0,46,29
Ernie Kellermann,3,0,0,0
Carl Lockhart,3,0,60,31
Jim Marsalis,3,0,0,0
Dee Martin,3,0,51,26
Ron McDole,3,1,18,18
Zeke Moore,3,0,29,26
Chip Myrtle,3,0,64,30
John Outlaw,3,1,89,60
Dave Robinson,3,0,44,23
Ron Smith,3,0,48,27
Bruce Taylor,3,0,68,49
Joe Taylor,3,0,69,39
Rosey Taylor,3,0,13,13
Dick Anderson,2,0,33,33
Pete Athas,2,1,52,37
Al Atkinson,2,0,19,17
Pete Barnes,2,1,57,36
Randy Beverly,2,0,19,19
Mel Blount,2,0,16,16
Willie Brown,2,0,2,2
Ross Brupbacher,2,0,34,34
Doug Buffone,2,0,27,18
Lee Calland,2,0,0,0
Ben Davis,2,0,18,15
John Dockery,2,0,13,13
Dave Edwards,2,0,0,0
Dave Elmendorf,2,0,32,32
Miller Farr,2,0,13,13
Johnny Fuller,2,0,57,57
Cornell Gordon,2,0,21,21
Cornell Green,2,0,16,12
Jack Ham,2,0,4,4
Cliff Harris,2,0,0,0
Doug Hart,2,0,73,69
Wally Hilgenberg,2,0,6,6
Jim Hill,2,0,7,7
Gus Hollomon,2,0,2,2
Mike Howell,2,0,93,68
Curtis Johnson,2,0,34,34
Lee Roy Jordan,2,0,34,23
Karl Kassulke,2,0,29,27
Willie Lanier,2,0,38,21
Dale Lindsey,2,0,50,29
Leroy Mitchell,2,0,0,0
Al Nelson,2,1,63,44
Billy Newsome,2,1,19,19
Brig Owens,2,0,27,19
John Pitts,2,0,12,12
Jim Purnell,2,0,32,17
Jerry Sherk,2,0,3,3
Jerry Stovall,2,0,20,20
Phil Villapiano,2,0,25,14
Mike Wagner,2,0,53,27
Wayne Walker,2,0,12,8
Jimmy Warren,2,2,114,59
Charlie Waters,2,0,37,30
Roger Wehrli,2,0,11,6
Dick Absher,1,0,21,21
Ron Acks,1,0,0,0
Ralph Anderson,1,0,14,14
Al Andrews,1,0,0,0
Bob Atkins,1,1,25,25
Coy Bacon,1,0,0,0
Bobby Bell,1,1,26,26
Bill Bergey,1,0,16,16
Lee Brooks,1,0,14,14
Aaron Brown,1,1,68,68
Buck Buchanan,1,0,9,9
Nick Buoniconti,1,0,16,16
Jim Carter,1,0,16,16
Edgar Chandler,1,0,13,13
Jim Cheyunski,1,0,24,24
Tony Cline,1,0,0,0
Al Coleman,1,0,15,15
Wayne Colman,1,0,0,0
Neal Craig,1,0,0,0
Paul Crane,1,0,23,23
Speedy Duncan,1,1,46,46
Scott Eaton,1,0,0,0
Glen Edwards,1,0,20,20
Jim Files,1,0,29,29
Jim Flanigan,1,0,10,10
Richmond Flowers,1,0,0,0
John Garlington,1,0,0,0
Larry Grantham,1,0,0,0
Paul Guidry,1,0,13,13
Jimmy Gunn,1,0,5,5
Dale Hackbart,1,0,11,11
David Hadley,1,0,0,0
Chris Hanburger,1,0,17,17
Ralph Heck,1,0,17,17
Don Hultz,1,0,4,4
Bob Jeter,1,0,0,0
D.D. Lewis,1,0,0,0
Garry Lyle,1,0,29,29
Jim Lynch,1,0,10,10
Al Matthews,1,0,20,20
Ray May,1,0,46,46
Tom McCauley,1,0,0,0
Mike McGill,1,0,19,19
Ray Nitschke,1,0,0,0
Tom Nowatzke,1,0,29,29
Frank Nunley,1,0,7,7
Bill Peterson,1,0,16,16
Myron Pottios,1,0,31,31
Al Randolph,1,0,34,34
Rick Redman,1,0,0,0
Henry Reed,1,0,11,11
Pete Richardson,1,0,0,0
Tim Rossovich,1,0,24,24
Mike Simpson,1,0,15,15
Fletcher Smith,1,0,0,0
Larry Stallings,1,1,26,26
Bob Stein,1,0,5,5
Doug Swift,1,0,12,12
Olen Underwood,1,0,5,5
Skip Vanderbundt,1,0,10,10
Tom Vaughn,1,0,8,8
Dave Washington,1,0,8,8
Mike Weger,1,0,16,16
Roy Winston,1,1,29,29
Phil Wise,1,0,33,33
Willie Wood,1,0,8,8
Alvin Wyatt,1,0,30,30
Wilbur Young,1,0,3,3
Steve Zabel,1,0,4,4
Ron Snidow,0,0,3,3
