Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Dave Lewis,44.8,38.4,2765,72,56,3229,0,4,11,8,8,41,304,1,0
Jerrel Wilson,44.8,38.1,2438,65,68,2864,0,6,4,7,6,40,286,0,1
Bobby Walden,43.7,37.7,2976,79,57,3455,0,3,7,8,16,45,319,0,0
Dennis Partee,43.5,40.6,2232,55,73,2392,0,2,10,6,17,20,40,0,0
Tom McNeill,42,36,2625,74,64,3063,0,6,13,4,10,39,358,0,1
Mike Eischeid,41.9,38.4,423,11,57,461,0,0,1,1,5,4,18,0,0
Billy Van Heusen,41.8,34,2588,77,62,3176,0,3,7,6,14,45,468,0,1
Herman Weaver,41.7,36.7,1541,44,63,1752,0,2,9,5,6,18,111,0,2
Ron Widby,41.6,35.3,1978,57,59,2329,0,0,8,6,15,26,231,0,1
Jim Bakken,41.4,43.2,216,5,44,207,0,0,1,0,1,3,-9,0,0
Julian Fagan,41.4,37.1,2857,77,64,3188,0,7,12,4,11,43,251,0,0
Pat Studstill,41.4,38.7,2709,70,60,2896,0,8,9,6,20,27,67,0,0
Spike Jones,41.2,33.9,2442,73,62,2966,0,0,10,6,16,39,404,0,1
David Lee,41,36,2235,62,76,2542,0,1,5,2,14,40,267,0,0
Tom Blanchard,40.6,34.9,2302,66,57,2681,0,3,2,3,8,50,319,0,0
Dan Pastorini,40.6,34.9,2620,75,62,3044,0,8,10,6,12,39,304,0,0
Mike Bragg,40.5,38.3,2221,59,59,2348,0,4,9,2,25,17,87,0,1
Don Cockroft,40.4,36.2,2241,64,59,2508,0,2,11,2,19,26,227,0,2
Donny Anderson,40.4,34.8,1740,50,58,2022,0,1,11,6,11,21,162,0,0
Bobby Joe Green,40.2,35.9,2763,77,60,3095,0,7,9,8,22,31,172,0,0
Larry Seiple,40.1,36.6,1901,53,73,2087,0,1,6,4,14,26,106,0,1
Bob Lee,39.5,34.8,3099,89,58,3515,0,5,16,4,17,47,336,0,0
Jerry DePoyster,39.5,35,1783,51,56,2013,0,1,7,4,17,22,150,0,0
Steve O'Neal,38.8,33.4,2607,78,58,3026,0,4,9,3,21,41,359,0,0
Jim McCann,38.7,35.4,1737,50,54,1897,0,1,7,6,16,18,40,0,1
Chuck Latourette,38.5,34.8,1948,57,55,2157,0,4,8,2,20,21,169,1,1
Steve Spurrier,38.5,36.5,73,2,40,77,0,0,0,0,1,1,4,0,0
Bill Bradley,38,31,62,2,45,76,0,0,0,0,1,1,14,0,0
Tom Janik,37.3,33.7,2930,87,58,3249,0,6,12,2,31,36,279,1,0
Billy Lothridge,37.2,35.3,1552,45,58,1639,0,1,6,2,18,16,47,0,1
Bill Bell,36.1,31.7,507,16,48,577,0,2,1,0,3,10,70,0,0
Ken Duncan,36,31.5,189,6,47,216,0,1,1,1,1,2,7,0,0
Doug Dressler,34,34,34,1,34,34,0,0,1,0,0,0,0,0,0
Dave Chapple,33.7,19.7,59,3,47,101,0,1,1,0,0,1,42,0,0
Gary Collins,32.4,32.4,162,5,42,162,0,1,4,0,0,0,0,0,0
