Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
John Gilliam,21,1,21,0,0,0,21,0,0
Carl Garrett,15.5,8,124,0,0,0,50,2,0
Tom Vaughn,15,2,30,0,0,0,19,0,0
Ron Gardin,14.8,6,89,0,0,0,65,5,0
Dick Anderson,14.2,8,114,0,0,0,47,3,0
Lenny Dunlap,14,8,112,0,0,0,57,2,0
Bobby Bryant,13,2,26,0,0,0,17,14,0
Charlie Waters,12.1,9,109,0,0,0,42,5,0
Jerry Logan,12,1,12,0,0,0,12,0,0
Speedy Duncan,10.6,22,233,0,0,0,33,9,0
Johnny Fuller,10.3,3,31,0,0,0,13,2,0
Leroy Kelly,9.7,30,292,0,0,0,74,4,0
Jake Scott,9.6,33,318,0,0,0,31,18,0
Billy Walik,9.6,5,48,0,0,0,50,4,0
Ike Hill,9.5,14,133,1,0,0,68,2,0
Bill Thompson,9.4,29,274,0,0,0,28,4,0
Essex Johnson,9.3,3,28,0,0,0,14,5,0
Roger Wehrli,9.3,9,84,0,0,0,34,3,0
Lem Barney,8.7,14,122,0,0,0,38,2,0
Jon Staggers,8.4,31,262,1,0,0,67,14,0
Ted Vactor,8.4,23,194,0,0,0,30,7,0
Larry Willingham,8.4,10,84,0,0,0,19,9,0
Alvin Wyatt,8.2,23,188,1,0,0,61,3,0
Chris Farasopoulos,8.2,19,155,0,0,0,19,11,0
Tom McCauley,8,1,8,0,0,0,8,1,0
Larry Stallings,8,1,8,0,0,0,8,0,0
George Atkinson,8,20,159,0,0,0,34,0,0
Lemar Parrish,7.8,12,93,0,0,0,47,9,0
Linzy Cole,7.6,14,107,0,0,0,31,15,0
Cliff Harris,7.6,17,129,0,0,0,35,8,0
Ron Smith,7.5,26,194,0,0,0,43,4,0
Pete Athas,7,3,21,0,0,0,10,1,0
Dave Jones,7,9,63,0,0,0,20,2,0
Cecil Turner,7,9,63,0,0,0,21,5,0
Bruce Taylor,6.9,34,235,0,0,0,38,10,0
Al Dodd,6.8,13,88,0,0,0,14,4,0
Jerry LeVias,6.6,22,145,0,0,0,19,8,0
Bill Bradley,6.6,18,118,0,0,0,33,12,0
Bobby Duhon,6.4,12,77,0,0,0,15,16,0
Rex Kern,6.3,3,19,0,0,0,7,1,0
Larry Walton,6.3,6,38,0,0,0,25,6,0
Bob Grim,6.3,7,44,0,0,0,36,5,0
Dennis Homan,6.1,10,61,0,0,0,18,5,0
Dave Davis,6,6,36,0,0,0,19,0,0
Ben Hawkins,6,1,6,0,0,0,6,0,0
Carl Lockhart,6,4,24,0,0,0,15,7,0
Reynaud Moore,6,2,12,0,0,0,9,1,0
Ed Podolak,6,14,84,0,0,0,23,9,0
Ken Houston,5.7,16,91,0,0,0,15,4,0
Chris Fletcher,5.7,12,68,0,0,0,18,5,0
Willie Belton,5.4,30,163,0,0,0,32,3,0
Norm Thompson,5.4,5,27,0,0,0,11,1,0
Rick Volk,5.4,22,118,0,0,0,18,20,0
Willie Wood,5.2,4,21,0,0,0,9,2,0
Charlie West,5.2,18,94,0,0,0,16,11,0
Alvin Haymond,5.1,24,123,0,0,0,28,11,0
Kermit Alexander,5,1,5,0,0,0,5,3,0
Bob Hayes,5,1,5,0,0,0,5,0,0
Garry Lyle,5,1,5,0,0,0,5,0,0
Ken Ellis,4.9,22,107,0,0,0,30,1,0
Lance Rentzel,4.4,9,40,0,0,0,24,5,0
Charlie Greer,4.2,11,46,0,0,0,14,0,0
Ernie Kellermann,4,1,4,0,0,0,4,0,0
Dave Thompson,4,1,4,0,0,0,4,0,0
Travis Williams,4,1,4,0,0,0,4,0,0
Rickie Harris,3.8,5,19,0,0,0,9,1,0
Tommy Maxwell,3.5,6,21,0,0,0,10,7,0
Johnny Roland,3.3,3,10,0,0,0,8,3,0
Tim Beamer,3.1,7,22,0,0,0,10,5,0
Elijah Pitts,2.6,5,13,0,0,0,5,2,0
Speedy Thomas,2.5,4,10,0,0,0,7,4,0
Hubie Bryant,2.4,10,24,0,0,0,16,1,0
Sandy Durko,2.3,6,14,0,0,0,7,11,0
Tom Curtis,2.1,7,15,0,0,0,10,10,0
Ceasar Belser,2,1,2,0,0,0,2,0,0
Preston Riley,2,1,2,0,0,0,2,0,0
Kerry Reardon,1.7,3,5,0,0,0,4,5,0
Margene Adkins,1.2,4,5,0,0,0,10,0,0
Rod Sherman,1,2,2,0,0,0,2,3,0
Mike Wagner,1,2,2,0,0,0,2,3,0
Vern Studdard,0.8,4,3,0,0,0,3,1,0
Mike Garrett,0.7,3,2,0,0,0,4,0,0
John Mallory,0.6,5,3,0,0,0,2,2,0
Danny Abramowicz,0,1,0,0,0,0,0,4,0
Ray Brown,0,1,0,0,0,0,0,2,0
Paul Dickson,0,1,0,0,0,0,0,0,0
Glen Edwards,0,1,0,0,0,0,0,0,0
John Fuqua,0,1,0,0,0,0,0,0,0
Bob Gladieux,0,4,0,0,0,0,0,8,0
W.K. Hicks,0,1,0,0,0,0,0,0,0
Don Highsmith,0,1,0,0,0,0,0,0,0
Leroy Mitchell,0,1,0,0,0,0,0,0,0
Al Randolph,0,1,0,0,0,0,0,0,0
Floyd Rice,0,2,0,0,0,0,0,0,0
Skip Vanderbundt,0,1,0,0,0,0,0,0,0
Mike Sensibaugh,-0.4,5,-2,0,0,0,3,1,0
Eddie Bell,-3,1,-3,0,0,0,-3,2,0
