Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Ike Thomas,42.1,7,295,2,0,0,101,0,0
Jim Duncan,34,3,102,0,0,0,54,0,0
Duane Thomas,32,2,64,0,0,0,33,0,0
Travis Williams,29.7,25,743,1,0,0,105,0,0
Reece Morrison,29.7,9,267,0,0,0,52,0,0
Ron Jessie,29.4,16,470,2,0,0,102,0,0
Preston Pearson,29.3,7,205,0,0,0,77,0,0
Cannonball Butler,28.6,13,372,0,0,0,82,0,0
Dave Hampton,28.6,46,1314,1,0,0,90,0,0
Floyd Little,28.4,7,199,0,0,0,48,0,0
Cliff Harris,28.4,29,823,0,0,0,77,0,0
Mercury Morris,28.2,15,423,1,0,0,94,0,0
Lenny Dunlap,28,1,28,0,0,0,28,0,0
Bobby Williams,28,4,112,0,0,0,40,0,0
George Hoey,27.9,9,251,1,0,0,103,0,0
Al Nelson,27.5,13,358,0,0,0,51,0,0
Clint Jones,27.4,12,329,0,0,0,47,0,0
Clarence Davis,27.2,27,734,0,0,0,44,0,0
Al Clark,27,8,216,0,0,0,55,0,0
Speedy Duncan,26.8,27,724,0,0,0,48,0,0
O.J. Simpson,26.8,4,107,0,0,0,43,0,0
Frank Pitts,26.4,9,238,0,0,0,35,0,0
Billy Walik,26.4,14,369,0,0,0,52,0,0
Rocky Thompson,26.3,36,947,1,0,0,93,0,0
Claxton Welch,26.2,4,105,0,0,0,39,0,0
Phil Wise,26.2,8,210,0,0,0,41,0,0
Jon Staggers,26.1,10,261,0,0,0,47,0,0
Linzy Cole,26.1,32,834,0,0,0,45,0,0
Mike Richardson,26,1,26,0,0,0,26,0,0
Norm Thompson,26,7,182,0,0,0,45,0,0
Vic Washington,26,33,858,0,0,0,74,0,0
Ron Smith,25.8,26,671,0,0,0,41,0,0
Kerry Reardon,25.7,12,308,0,0,0,41,0,0
Alvin Wyatt,25.4,30,762,0,0,0,39,0,0
Willie Belton,25.2,28,706,0,0,0,58,0,0
Hubie Bryant,25.2,10,252,0,0,0,45,0,0
Hubert Ginn,25.2,10,252,0,0,0,35,0,0
Robert Holmes,25,12,300,0,0,0,41,0,0
Charlie Joiner,25,1,25,0,0,0,25,0,0
Mike LaHood,25,1,25,0,0,0,25,0,0
Roger Williams,25,4,100,0,0,0,57,0,0
Jim Thrower,24.9,12,299,0,0,0,45,0,0
Charlie Leigh,24.8,4,99,0,0,0,31,0,0
Joe Profit,24.7,10,247,0,0,0,35,0,0
Lem Barney,24.7,9,222,0,0,0,48,0,0
Mel Gray,24.7,30,740,0,0,0,65,0,0
