Team,Rsh TD,Rec TD,Tot TD,2-PT
Colts,28,19,51,0
Raiders,28,19,48,0
Bills,26,28,56,0
Dolphins,26,19,46,0
Steelers,22,21,45,0
Bengals,20,23,45,0
Cardinals,19,20,43,0
Rams,18,14,36,0
Vikings,18,27,46,0
Cowboys,17,19,41,0
Giants,17,11,29,0
Jets,15,16,32,0
Browns,14,7,22,0
Packers,14,11,26,0
Oilers,14,14,32,0
Chiefs,14,15,30,0
Patriots,14,16,32,0
Chargers,14,7,22,0
Falcons,12,18,33,0
49ers,12,15,29,0
Bears,11,9,22,0
Lions,10,15,28,0
Broncos,9,15,27,0
Saints,9,8,17,0
Redskins,9,28,38,0
Eagles,3,19,24,0
