Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,118,71.5,87,18.7,0
Bills,0,0,0,0,132,72.5,162,27.6,0
Bears,0,0,0,0,99,51.8,74,16.8,0
Bengals,0,0,0,0,166,65.1,107,21.4,0
Browns,0,0,0,0,114,51.8,109,24.8,0
Cowboys,0,0,0,0,142,68.6,132,23.1,0
Broncos,0,0,0,0,137,65.2,109,22.2,0
Lions,0,0,0,0,111,60.7,111,20.9,0
Packers,0,0,0,0,112,52.8,84,19.5,0
Oilers,0,0,0,0,90,54.6,121,23,0
Colts,0,0,0,0,114,54,131,24.4,0
Chiefs,0,0,0,0,128,59,110,22.6,0
Rams,0,0,0,0,120,66.3,134,22.9,0
Raiders,0,0,0,0,139,70.9,159,24.7,0
Dolphins,0,0,0,0,108,63.5,136,22.9,0
Vikings,0,0,0,0,156,55.5,142,25.5,0
Patriots,0,0,0,0,133,68.9,94,19.9,0
Saints,0,0,0,0,82,45.3,109,23.5,0
Giants,0,0,0,0,105,54.4,95,19.7,0
Jets,0,0,0,0,111,63.8,126,25.2,0
Eagles,0,0,0,0,134,56.3,84,18.2,0
Cardinals,0,0,0,0,128,68.4,131,23.6,0
Steelers,0,0,0,0,125,65.4,149,25.6,0
Chargers,0,0,0,0,89,53.9,98,22.6,0
49ers,0,0,0,0,133,56.8,86,20.4,0
Redskins,0,0,0,0,150,65.5,97,21.8,0
