Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
49ers,602,361,60,6.2,3760,18,21,73.5,200,33.2,0,0,50,17,119
Vikings,566,315,55.6,6,3397,23,24,69.4,168,29.7,0,0,55T,37,258
Colts,550,313,56.9,6.5,3575,18,19,73.1,158,28.7,0,0,67T,52,403
Browns,545,289,53,7,3838,28,27,72.1,189,34.7,0,0,74,43,347
Chargers,541,338,62.5,7.6,4138,24,25,81.6,192,35.5,0,0,65T,31,223
Seahawks,523,292,55.8,7.2,3791,20,18,77.2,171,32.7,0,0,65T,23,201
Raiders,513,311,60.6,7.2,3704,27,23,81.6,191,37.2,0,0,66T,36,293
Cowboys,503,287,57.1,7.7,3883,29,13,90.2,195,38.8,0,0,75,41,290
Cardinals,492,248,50.4,5.8,2870,12,24,56.2,136,27.6,0,0,78,39,268
Steelers,492,272,55.3,7.9,3877,26,26,76.6,179,36.4,0,0,65T,27,222
Falcons,479,251,52.4,6.5,3127,19,23,66.2,150,31.3,0,0,57,54,398
Broncos,476,260,54.6,7.2,3433,18,23,70.1,149,31.3,0,0,64,43,327
Patriots,475,237,49.9,7.6,3600,30,23,76.1,159,33.5,0,0,63T,49,382
Bills,465,241,51.8,7.8,3603,14,15,74.2,147,31.6,0,0,84T,43,387
Rams,456,242,53.1,6.6,3032,19,29,61.4,138,30.3,0,0,71,39,359
Lions,452,218,48.2,6.1,2775,14,27,53.3,131,29,0,0,82,51,439
Packers,444,240,54,6.9,3057,15,22,66.4,133,30,0,0,78,47,376
Buccaneers,434,183,42.2,6.2,2700,19,26,52.8,137,31.6,0,0,66T,12,88
Saints,428,257,60,7.7,3291,16,22,75.2,135,31.5,0,0,85T,17,140
Bengals,426,228,53.5,6.6,2821,17,15,72.9,131,30.8,0,0,73T,63,511
Dolphins,416,235,56.5,7.2,3018,20,22,73.4,140,33.6,0,0,53,29,255
Eagles,410,209,51,7,2882,21,13,77.7,150,36.6,0,0,53T,34,272
Giants,401,190,47.4,6,2419,15,22,56.3,111,27.7,0,0,61,59,465
Redskins,401,235,58.6,7.1,2839,20,15,81.5,144,35.9,0,0,62,34,263
Oilers,386,195,50.5,6.5,2494,17,21,63.1,100,25.9,0,0,55T,32,238
Bears,373,195,52.3,6.5,2429,16,16,69.2,98,26.3,0,0,68,31,278
Jets,369,190,51.5,7.8,2864,16,25,63.6,126,34.2,0,0,72T,32,266
Chiefs,361,190,52.6,5.4,1953,7,18,54.2,91,25.2,0,0,40T,42,293
