Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Chiefs,408,1764,4.3,11,88,21.6
Jets,408,1454,3.6,11,70,17.2
Jaguars,416,1945,4.7,19,98,23.6
Raiders,474,2138,4.5,14,98,20.7
Falcons,366,1694,4.6,9,87,23.8
Ravens,384,1503,3.9,5,79,20.6
Giants,389,1620,4.2,11,88,22.6
Steelers,333,1004,3,5,61,18.3
Chargers,404,1500,3.7,14,77,19.1
Patriots,409,1728,4.2,10,99,24.2
Dolphins,447,1601,3.6,8,84,18.8
Vikings,417,1635,3.9,10,87,20.9
Buccaneers,444,2107,4.8,12,118,26.6
Rams,404,1810,4.5,7,88,21.8
Panthers,503,1981,3.9,20,121,24.1
Bengals,416,1843,4.4,15,97,23.3
Cowboys,402,1734,4.3,11,84,20.9
Eagles,423,1766,4.2,12,91,21.5
Texans,433,1751,4,16,113,26.1
Packers,395,1838,4.6,6,82,20.8
Bears,386,1441,3.7,14,88,22.8
Browns,505,2070,4.1,7,102,20.2
Titans,474,1851,3.9,7,107,22.6
Lions,443,1999,4.5,18,98,22.1
Bills,571,2714,4.8,18,138,24.2
Niners,447,1547,3.5,9,86,19.2
Broncos,531,2473,4.7,26,126,23.7
Colts,445,2032,4.6,14,111,24.9
Seahawks,452,1903,4.2,13,91,20.1
Saints,421,1797,4.3,13,94,22.3
Redskins,444,2041,4.6,15,106,23.9
Cardinals,526,2323,4.4,19,123,23.4
