Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Raiders,76,0,13,17.1,0,0,0,0,0,0
Cowboys,74,0,3,4,0,0,0,0,0,0
Oilers,68,0,4,5.9,0,0,0,0,0,0
Colts,67,0,7,10.4,0,0,0,0,0,0
Rams,66,0,12,18.2,0,0,0,0,0,0
Dolphins,63,0,4,6.4,0,0,0,0,0,0
Patriots,63,0,11,17.5,0,0,0,0,0,0
Broncos,61,0,11,18,0,0,0,0,0,0
Steelers,60,0,9,15,0,0,0,0,0,0
Seahawks,60,0,9,15,0,0,0,0,0,0
Bears,59,0,5,8.5,0,0,0,0,0,0
Bengals,59,0,9,15.2,0,0,0,0,0,0
Browns,59,0,7,11.9,0,0,0,0,0,0
Cardinals,57,0,2,3.5,0,0,0,0,0,0
Chargers,54,0,5,9.3,0,0,0,0,0,0
Redskins,54,0,0,0,0,0,0,0,0,0
Vikings,52,0,1,1.9,0,0,0,0,0,0
Chiefs,51,0,5,9.8,0,0,0,0,0,0
Saints,51,0,4,7.8,0,0,0,0,0,0
Jets,51,0,3,5.9,0,0,0,0,0,0
49ers,51,0,3,5.9,0,0,0,0,0,0
Eagles,49,0,0,0,0,0,0,0,0,0
Giants,48,0,12,25,0,0,0,0,0,0
Falcons,47,0,3,6.4,0,0,0,0,0,0
Lions,44,0,9,20.4,0,0,0,0,0,0
Packers,42,0,3,7.1,0,0,0,0,0,0
Bills,41,0,0,0,0,0,0,0,0,0
Buccaneers,35,0,1,2.9,0,0,0,0,0,0
