Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Redskins,21,56.8,19,100,0,0
Raiders,20,71.4,39,92.9,0,0
Bengals,19,70.4,25,96.2,0,0
Cowboys,18,62.1,39,95.1,0,0
Rams,18,60,32,91.4,0,0
Browns,17,73.9,30,96.8,0,0
Colts,17,65.4,32,91.4,0,0
Chargers,17,73.9,21,87.5,0,1
Oilers,16,64,29,82.9,1,2
Patriots,15,71.4,33,100,3,0
Jets,15,60,18,85.7,0,0
Bears,14,51.8,27,90,1,1
Giants,14,60.9,19,95,0,1
Falcons,13,43.3,20,100,0,0
Broncos,13,68.4,31,91.2,0,1
Packers,13,61.9,11,78.6,1,1
49ers,11,57.9,25,92.6,1,0
Dolphins,10,45.4,37,90.2,1,0
Bills,9,52.9,17,89.5,0,2
Steelers,9,64.3,34,91.9,0,0
Seahawks,9,50,33,89.2,0,0
Buccaneers,9,52.9,10,90.9,0,0
Lions,8,42.1,19,90.5,1,1
Chiefs,8,44.4,27,96.4,0,0
Vikings,8,47.1,25,86.2,0,0
Eagles,7,46.7,25,86.2,1,0
Cardinals,7,43.8,35,97.2,0,0
Saints,5,41.7,29,93.6,1,0
