Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Oilers,15,36,539,2,0,0,87T,8,0
Jets,12.6,38,480,0,0,0,49,5,0
Broncos,12.3,58,712,1,0,0,87T,8,0
Bills,11.9,32,380,2,0,0,91,9,0
Chargers,11.3,46,521,1,0,0,88T,3,0
Eagles,10.4,50,518,0,0,0,48,5,0
Raiders,10.1,37,373,0,0,0,23,6,0
Bears,10,47,471,1,0,0,70T,13,0
Patriots,10,43,429,0,0,0,53,6,0
Giants,9.7,46,446,1,0,0,68T,13,0
Cowboys,8.9,61,545,0,0,0,38,16,0
Browns,8.5,38,322,0,0,0,44,3,0
Steelers,8.5,46,389,0,0,0,31,0,0
Packers,8.4,38,321,1,0,0,75T,13,0
Lions,8.2,42,345,1,0,0,87T,13,0
Bengals,8,41,328,0,0,0,70,10,0
Redskins,7.9,57,452,0,0,0,43,8,0
Dolphins,7.9,40,315,0,0,0,39,6,0
Colts,7.7,42,323,0,0,0,24,14,0
Saints,7.6,37,281,0,0,0,33,10,0
Cardinals,7.5,40,300,0,0,0,23,4,0
Buccaneers,7.5,48,359,0,0,0,36,3,0
Rams,7.1,51,360,0,0,0,48,6,0
Falcons,6.8,59,402,0,0,0,37,12,0
Seahawks,6.8,32,217,0,0,0,31,4,0
Chiefs,6.6,36,236,0,0,0,19,3,0
49ers,6.1,48,292,0,0,0,60,5,0
Vikings,6,58,346,0,0,0,44,7,0
